date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_pullback_low,anchor_low_date,anchor_high_date,anchor_pullback_low_date,signal_type,gap_up,entry_evidence_score,entry_evidence,industry_tags,grid_slot,value_line,account_mode
2026-01-28,sz.000612,焦作万方,左侧网格卖出,14.536,14.536276211022166,-1.93,L6; 上一格卖出; intraday_cross,active,0.0992,-1400.0,13.809462400471057,卖出,1400.0,20350.79,5.0,10.18,10.18,25.35,14.67,19333.25,1017.54,977.52,5.0523,20325.44,,,,,,,,,,,,,,,,,,,,,,5.0,14.536276211022166,left
2026-01-28,sh.603979,金诚信,右侧买入,81.59,81.59,29.37,R4; 33未三日下行首仓; W底收盘放量突破颈线; close_confirmed,active,-0.0172,3600.0,81.59,买入,3600.0,293724.0,24.97,0.0,146.86,171.83,0.0,,,-171.83,-0.0585,-293895.83,30.0,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,w_bottom_neckline,,14.0,"['primary:w_bottom_neckline+6', 'volume_confirmed+1', 'volume_expanded_1_3x+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2']",工业金属,,,
2026-01-30,sh.600988,赤峰黄金,统一分仓收盘止盈1份,42.84,42.84,-5.89,止盈条件=trailing_10; 14:55/close proxy,active,1.381,-1700.0,34.67,卖出,1700.0,72828.0,6.19,36.41,36.41,79.02,34.48,58939.0,13889.0,13775.5,23.3588,72748.98,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30,sh.603979,金诚信,收盘条件退出,78.22,78.22,-29.37,R4; condition stop; 14:55/close proxy,active,-1.2438,-3600.0,81.59,卖出,3600.0,281592.0,23.94,140.8,140.8,305.53,171.83,293724.0,-12132.0,-12609.36,-4.2904,281286.47,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,sh.600988,赤峰黄金,统一分仓收盘止盈1份,38.55,38.55,-5.89,止盈条件=volume_node_break:2026-01-29; 14:55/close proxy,active,0.6525,-1700.0,34.67,卖出,1700.0,65535.0,5.57,32.77,32.77,71.11,34.48,58939.0,6596.0,6490.42,11.0057,65463.89,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,sh.600988,赤峰黄金,右侧买入,38.55,38.55,8.87,R5; 浮盈加仓50%; 上涨波段50.0%拉回支撑5%区域; 共振=MA10; close_confirmed,active,-0.0052,2300.0,38.55,买入,2300.0,88665.0,7.54,0.0,44.33,51.87,0.0,,,-51.87,-0.0585,-88716.87,9.0142,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+38.3%；60日强度+47.7%；120日强度+75.4%；距120日高点-10.0%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.5,26.02,51.07,,2025-09-04,2026-01-29,,uptrend_support_pullback,,9.0,"['primary:uptrend_support_pullback+3', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'ma20_ma60_rising_alignment+2', 'large_wave_structure+2']",贵金属,,,
2026-02-03,sh.600988,赤峰黄金,统一分仓收盘止盈1份,39.45,39.45,-5.89,止盈条件=volume_node_break:2026-01-23; 14:55/close proxy,active,0.8053,-1700.0,34.67,卖出,1700.0,67065.0,5.7,33.53,33.53,72.77,34.48,58939.0,8126.0,8018.76,13.5972,66992.23,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04,sh.600988,赤峰黄金,收盘条件退出,38.21,38.21,-8.87,R5; condition stop; 14:55/close proxy,active,-0.0877,-2300.0,38.55,卖出,2300.0,87883.0,7.47,43.94,43.94,95.35,51.87,88665.0,-782.0,-929.22,-1.0474,87787.65,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05,sh.600988,赤峰黄金,统一分仓收盘止盈1份,36.52,36.52,-5.89,止盈条件=volume_node_break:2026-02-03; 14:55/close proxy,active,0.3078,-1700.0,34.67,卖出,1700.0,62084.0,5.28,31.04,31.04,67.36,34.48,58939.0,3145.0,3043.16,5.1602,62016.64,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06,sh.600988,赤峰黄金,统一尾仓收盘退出,36.7,36.7,-6.24,止盈条件=maximum_profit_half; 14:55/close proxy,active,0.3582,-1800.0,34.67,卖出,1800.0,66060.0,5.62,33.03,33.03,71.68,36.51,62406.0,3654.0,3545.82,5.6785,65988.32,,,,,,,,,,,,,,,,,,,,,,,,
