date,equity,cash,cash_pct,gross_exposure_pct,capacity_position_count,total_held_symbol_count,left_side_symbol_count,right_market_left_side_symbol_count,profit_tail_count,candidate_count
2026-06-26,1.0248162358568957,948726.2358568958,92.5753,9.73,1,1,1,1,0,162
2026-06-29,1.0252362358568958,948726.2358568958,92.5373,9.73,1,1,1,1,0,157
2026-06-30,1.0228562358568958,948726.2358568958,92.7526,9.73,1,1,1,1,0,155
2026-07-01,1.0227162358568958,948726.2358568958,92.7653,9.73,1,1,1,1,0,170
2026-07-02,1.0227162358568958,948726.2358568958,92.7653,9.73,1,1,1,1,0,161
2026-07-03,1.0239762358568958,948726.2358568958,92.6512,9.73,1,1,1,1,0,165
2026-07-06,1.0227162358568958,948726.2358568958,92.7653,9.73,1,1,1,1,0,152
2026-07-07,1.021246235856896,948726.2358568958,92.8989,9.73,1,1,1,1,0,159
2026-07-08,1.0192862358568957,948726.2358568958,93.0775,9.73,1,1,1,1,0,152
2026-07-09,1.032038148976896,661230.1489768958,64.0703,38.46,2,2,1,1,0,143
2026-07-10,1.0089026231368958,938832.6231368958,93.0548,9.73,1,1,1,1,0,162
2026-07-13,1.0110726231368958,938832.6231368958,92.8551,9.73,1,1,1,1,0,141
2026-07-14,1.0147518060618959,646666.8060618958,63.7266,38.93,2,2,1,1,0,138
