序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
25,2026-03-16,横店东磁,sz.002056,买入,"买入横店东磁(sz.002056) 13100股，成交价22.875，成交金额299,662.50元，现金-299,837.80元，交易后持股13100股",建仓成本175.30元,22.875,13100,299662.5,175.3,33未三日下行首仓；连阳波段一半拉回；一半位置止损；盘中触及结构位成交,-175.3,,13100,持有13100股,-299837.8,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准2.30倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+32.3%；60日强度+34.9%；120日强度+39.7%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准2.30倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准2.30倍；多周期均量扣低走高,,,
26,2026-03-17,横店东磁,sz.002056,卖出,"卖出横店东磁(sz.002056) 13100股，成交价22.27，成交金额291,737.00元，现金+291,420.47元，本次亏损-8,417.34元，收益率-2.81%，清仓","亏损-8,417.34元 (-2.81%)",22.27,13100,291737.0,316.53,收盘条件止损；14:55收盘代理价成交,-8417.34,-2.8073,0,清仓,291420.47,,,,,
27,2026-03-25,四川黄金,sz.001337,买入,"买入四川黄金(sz.001337) 6400股，成交价46.76，成交金额299,264.00元，现金-299,439.07元，交易后持股6400股",建仓成本175.07元,46.76,6400,299264.0,175.07,33未三日下行首仓；上涨波段50%有效跌破后收盘放量收复；跳空向上加分；close_confirmed,-175.07,,6400,持有6400股,-299439.07,基本面硬条件通过且多周期强度居前；20日强度-9.6%；60日强度+60.5%；120日强度+66.5%；距120日高点-37.8%；MA20/MA60同步上扬,MA20/MA60同步上扬,0.5,20.36 / 72.94,2024-12-31 → 2026-01-29
28,2026-03-26,四川黄金,sz.001337,卖出,"卖出四川黄金(sz.001337) 6400股，成交价46.45，成交金额297,280.00元，现金+296,957.45元，本次亏损-2,481.62元，收益率-0.83%，清仓","亏损-2,481.62元 (-0.83%)",46.45,6400,297280.0,322.55,开盘未站上46.650；跳空止损成交,-2481.62,-0.8288,0,清仓,296957.45,,,,,
29,2026-04-14,华峰测控,sh.688200,买入,"买入华峰测控(sh.688200) 1400股，成交价200.18，成交金额280,252.00元，现金-280,415.95元，交易后持股1400股",建仓成本163.95元,200.18,1400,280252.0,163.95,33未三日下行首仓；回调波段50%收盘放量向上突破；close_confirmed,-163.95,,1400,持有1400股,-280415.95,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+12.2%；60日强度+33.7%；120日强度+50.8%；距120日高点-8.5%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.5,92.22 / 215.5,2025-08-08 → 2026-02-13
30,2026-04-24,华峰测控,sh.688200,卖出,"卖出华峰测控(sh.688200) 200股，成交价208.04，成交金额41,608.00元，现金+41,561.39元，本次盈利+1,501.97元，收益率+3.75%，剩余1200股","盈利1,501.97元 (+3.75%)",208.04,200,41608.0,46.61,止盈条件=profit_floor；14:55收盘代理价成交,1501.97,3.7494,1200,持有1200股,41561.39,,,,,
31,2026-05-21,华峰测控,sh.688200,卖出,"卖出华峰测控(sh.688200) 200股，成交价291.23，成交金额58,246.00元，现金+58,182.75元，本次盈利+18,123.33元，收益率+45.24%，剩余1000股","盈利18,123.33元 (+45.24%)",291.23,200,58246.0,63.25,止盈条件=trailing_10；14:55收盘代理价成交,18123.33,45.2411,1000,持有1000股,58182.75,,,,,
32,2026-05-27,华峰测控,sh.688200,卖出,"卖出华峰测控(sh.688200) 200股，成交价275.95，成交金额55,190.00元，现金+55,129.81元，本次盈利+15,070.39元，收益率+37.62%，剩余800股","盈利15,070.39元 (+37.62%)",275.95,200,55190.0,60.19,止盈条件=volume_node_break:2026-05-25；14:55收盘代理价成交,15070.39,37.6201,800,持有800股,55129.81,,,,,
33,2026-05-28,工业富联,sh.601138,买入,"买入工业富联(sh.601138) 4000股，成交价75.0，成交金额300,000.00元，现金-300,175.50元，交易后持股4000股",建仓成本175.50元,75.0,4000,300000.0,175.5,33未三日下行首仓；W底收盘放量突破颈线；close_confirmed,-175.5,,4000,持有4000股,-300175.5,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,,,
34,2026-05-29,工业富联,sh.601138,卖出,"卖出工业富联(sh.601138) 4000股，成交价73.4，成交金额293,600.00元，现金+293,281.44元，本次亏损-6,894.06元，收益率-2.30%，清仓","亏损-6,894.06元 (-2.30%)",73.4,4000,293600.0,318.56,收盘条件止损；14:55收盘代理价成交,-6894.06,-2.2967,0,清仓,293281.44,,,,,
35,2026-05-29,华峰测控,sh.688200,卖出,"卖出华峰测控(sh.688200) 400股，成交价268.33，成交金额107,332.00元，现金+107,215.54元，本次盈利+27,096.70元，收益率+33.82%，剩余400股","盈利27,096.70元 (+33.82%)",268.33,400,107332.0,116.46,止盈条件=volume_node_break:2026-05-22；14:55收盘代理价成交,27096.7,33.8206,400,持有400股,107215.54,,,,,
36,2026-06-01,华峰测控,sh.688200,卖出,"卖出华峰测控(sh.688200) 400股，成交价254.35，成交金额101,740.00元，现金+101,629.61元，本次盈利+21,510.77元，收益率+26.85%，清仓","盈利21,510.77元 (+26.85%)",254.35,400,101740.0,110.39,止盈条件=maximum_profit_half；14:55收盘代理价成交,21510.77,26.8486,0,清仓,101629.61,,,,,
37,2026-07-09,伟测科技,sh.688372,买入,"买入伟测科技(sh.688372) 1600股，成交价179.58，成交金额287,328.00元，现金-287,496.09元，交易后持股1600股",建仓成本168.09元,179.58,1600,287328.0,168.09,33未三日下行首仓；连阳波段一半拉回；一半位置止损；盘中触及结构位成交,-168.09,,1600,持有1600股,-287496.09,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+30.2%；60日强度+24.0%；120日强度+71.0%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,,,
38,2026-07-10,伟测科技,sh.688372,卖出,"卖出伟测科技(sh.688372) 1600股，成交价173.69，成交金额277,904.00元，现金+277,602.47元，本次亏损-9,893.61元，收益率-3.44%，清仓","亏损-9,893.61元 (-3.44%)",173.69,1600,277904.0,301.53,收盘条件止损；14:55收盘代理价成交,-9893.61,-3.4413,0,清仓,277602.47,,,,,
39,2026-07-14,兆易创新,sh.603986,买入,"买入兆易创新(sh.603986) 500股，成交价583.99，成交金额291,995.00元，现金-292,165.82元，交易后持股500股",建仓成本170.82元,583.99,500,291995.0,170.82,33未三日下行首仓；上涨波段50%有效跌破后收盘放量收复；close_confirmed,-170.82,,500,持有500股,-292165.82,主流标准基本面模型入选；MA20/MA60同步上扬；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+14.4%；60日强度+97.0%；120日强度+120.6%；距120日高点-34.4%；MA20/MA60同步上扬；多周期均量扣低走高,MA20/MA60同步上扬；多周期均量扣低走高,0.5,272.19 / 846.66,2026-03-03 → 2026-06-29
