code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,raw_return,qfq_return
sz.300548,长芯博创,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,48.61,100.0,100.0,60.0,60.6,77.0,81.8,64.8,73.3,"价值线=236.11, 现价/价值=0.21, 扣非EPS=0.20, akshare东方财富扣非净利润同比=11416.7%, 市值=140.0亿",0.2457713992824191,0.012708333333333321,140.00038136605497,236.11450290007699,0.20587468962282093,0.2,0.2,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.8,低估价值,48.61,251.98,4.183707056161284,4.188522004581535
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.5,56.7,57.2,81.7,63.8,72.7,"价值线=39.73, 现价/价值=0.45, 扣非EPS=1.83, akshare东方财富扣非净利润同比=7.2%, 市值=560.1亿",-0.011686143572620877,0.08094948265368229,560.0672135905049,39.729810905549975,0.4470194948126233,1.83,1.83,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.7,低估价值,17.76,17.56,-0.011261261261261368,0.032658747947702294
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,55.5,52.3,78.9,81.7,60.1,70.9,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.06735751295336789,0.03602643359624813,,,,,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122449,低估价值,价值线内/历史低位,81.7,低估价值,48.6,60.12,0.23703703703703694,0.2880677033066392
sh.688313,仕佳光子,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,28.73,100.0,100.0,50.2,85.0,75.6,81.1,68.7,74.9,"价值线=125.89, 现价/价值=0.23, 扣非EPS=0.11, akshare东方财富扣非净利润同比=11456.3%, 市值=129.9亿",0.6568627450980393,0.7391041162227603,129.86578892757746,125.89172324161581,0.22821198455485733,0.1065,0.1065,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.1,低估价值,28.73,173.42,5.036199095022624,5.046035995587445
sh.600323,瀚蓝环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,23.28,94.2,94.2,78.3,54.0,50.5,81.0,66.4,73.7,"价值线=39.41, 现价/价值=0.59, 扣非EPS=1.99, akshare东方财富扣非净利润同比=12.8%, 市值=190.1亿",-0.035225859925403946,0.044883303411131115,190.14312881609246,39.405353979762396,0.5907826639993141,1.99,1.99,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.0,低估价值,23.28,30.53,0.311426116838488,0.36791555770966644
sz.002353,杰瑞股份,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,31.38,91.8,91.8,87.4,25.0,64.0,81.0,62.3,71.6,"价值线=51.63, 现价/价值=0.61, 扣非EPS=2.37, akshare东方财富扣非净利润同比=28.4%, 市值=318.1亿",-0.14589003810560708,-0.19373072970195282,318.055340025524,51.63319760278908,0.6077485311176029,2.37,2.37,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.0,低估价值,31.38,139.15,3.4343530911408546,3.538869642396314
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75.0,38.5,78.2,91.0,82.3,78.3,83.1,80.7,"价值线=20.08, 现价/价值=0.98, 扣非EPS=0.63, akshare东方财富扣非净利润同比=78.5%, 市值=1667.0亿",0.016528925619834656,0.24478178368121428,1667.0303878037157,20.077279112041396,0.9802125024100937,0.6297,0.6297,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,80.7,低估且高质量,19.68,19.39,-0.014735772357723498,0.01887697918560982
sz.002683,广东宏大,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,30.56,8.9,8.9,90.3,87.8,55.7,45.9,80.2,63.0,"价值线=25.73, 现价/价值=1.19, 扣非EPS=1.11, akshare东方财富扣非净利润同比=53.2%, 市值=232.2亿",0.03208375548801068,0.16908951798010707,232.198125820284,25.733575890705147,1.1875535731914404,1.1126,1.1126,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,80.2,高质量趋势,30.56,37.36,0.2225130890052356,0.2618682355351045
sh.600487,亨通光电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,15.77,91.8,91.8,78.9,32.9,72.1,80.0,62.4,71.2,"价值线=25.95, 现价/价值=0.61, 扣非EPS=1.06, akshare东方财富扣非净利润同比=32.7%, 市值=383.3亿",-0.044242424242424305,0.030718954248365904,383.2812395011499,25.950513278907096,0.6076951091683437,1.06,1.06,1.0,年报扣非EPS,,,,,低估价值,深度低估,80.0,低估价值,15.77,71.8,3.5529486366518706,3.6223908138483143
sz.300308,中际旭创,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,86.65,75.0,43.9,100.0,25.0,100.0,80.0,72.5,76.2,"价值线=91.93, 现价/价值=0.94, 扣非EPS=4.62, akshare东方财富扣非净利润同比=58.4%, 市值=950.6亿",-0.13141539695268645,-0.1180661577608142,950.5910751359926,91.92664974983455,0.9425993467161676,4.62,4.62,1.0,年报扣非EPS,,,,,低估价值,价值线内/历史低位,80.0,低估价值,86.65,1045.0,11.060011540680899,11.135201247611098
