code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,buy_trade_date,end_trade_date
sh.601872,招商轮船,G55水上运输业,G55水上运输业,PB,PB低估,6.08,75.0,69.7,56.0,25.3,62.0,64.0,47.1,55.5,"PB=1.22, 低估均值=1.28, 比值=0.95, 分位=5%",-0.073170731707317,-0.1436619718309858,,,,,,,,1.218472,1.2825171000000002,0.9500629660220512,0.0457142857142857,低估价值,价值线内/历史低位,64.0,低估价值,,6.08,17.05,5.88528192,17.05,1.804276315789474,1.8970574785990881,2025-05-06,2026-05-18
sz.002941,新疆交建,E48土木工程建筑业,E48土木工程建筑业,PB,PB低估,11.23,87.6,87.6,31.4,37.0,42.4,64.0,37.9,50.9,"PB=2.10, 低估均值=2.86, 比值=0.73, 分位=6%",0.0388529139685476,0.0495327102803739,,,,,,,,2.101735,2.86077875,0.7346723335385514,0.0616174582798459,低估价值,价值线内/历史低位,64.0,低估价值,,11.23,13.05,11.07810302,13.05,0.1620658949243099,0.17799951638290512,2025-05-06,2026-05-18
sh.600720,中交设计,M74专业技术服务业,M74专业技术服务业,VALUE,基本价值线,7.86,96.1,96.1,40.3,2.0,35.7,63.9,29.0,46.4,"价值线=13.62, 现价/价值=0.58, 扣非EPS=0.77, akshare东方财富扣非净利润同比=-8.3%, 市值=166.6亿",-0.0752941176470587,-0.0642857142857142,166.62267232030084,13.618111485663576,0.577172540280243,0.7712,0.7712,1.0,年报扣非EPS,,,,,低估价值,深度低估,63.9,低估价值,,7.86,6.33,7.63790784,6.33,-0.19465648854961837,-0.17123901824926968,2025-05-06,2026-05-18
sh.603909,建发合诚,E48土木工程建筑业,E48土木工程建筑业,PB,PB低估,8.92,83.2,83.2,55.6,33.2,8.8,63.9,42.1,53.0,"PB=2.12, 低估均值=2.67, 比值=0.79, 分位=4%",0.0033745781777276,-0.0011198208286673,,,,,,,,2.117934,2.669285555555556,0.7934460198879683,0.037691949744067,低估价值,价值线内/历史低位,63.9,低估价值,,8.92,11.9,8.8030142,11.9,0.3340807174887892,0.35180970172693815,2025-05-06,2026-05-18
sz.002572,索菲亚,C21家具制造业,C21家具制造业,VALUE,基本价值线,15.46,85.0,60.6,52.2,5.8,51.7,63.9,37.5,50.7,"价值线=18.72, 现价/价值=0.83, 扣非EPS=1.14, akshare东方财富扣非净利润同比=-3.7%, 市值=148.2亿",-0.0444993819530283,-0.0115089514066496,148.2265020402895,18.72130017937768,0.8257973459038842,1.14,1.14,1.0,年报扣非EPS,,,,,低估价值,深度低估,63.9,低估价值,,15.46,11.37,14.44021202,11.37,-0.26455368693402337,-0.21261543914644,2025-05-06,2026-05-18
sz.300019,硅宝科技,C26化学原料和化学制品制造业,半导体/电子,PB,PB低估,18.98,75.0,59.9,30.4,95.5,54.9,63.9,59.1,61.5,"PB=2.84, 低估均值=2.99, 比值=0.95, 分位=21%",0.0633053221288515,0.3017832647462277,,,,,,,,2.83514,2.9934374545454547,0.9471185027416944,0.2073469387755102,低估价值,价值线内/历史低位,63.9,低估价值,,18.98,17.42,18.36345368,17.42,-0.08219178082191769,-0.05137670159658103,2025-05-06,2026-05-18
sz.300254,仟源医药,C27医药制造业,医药医疗,PE,PE低估,9.03,75.0,58.8,51.3,52.4,46.1,63.9,52.1,58.0,"PE=65.38, 低估均值=69.94, 比值=0.93, 分位=24%",-0.083248730964467,0.048780487804878,,,,,,,,65.381006,69.94190416666667,0.9347901916453636,0.2415394824153948,低估价值,价值线内/历史低位,63.9,低估价值,,9.03,14.11,9.03,14.11,0.5625692137320044,0.5625692137320044,2025-05-06,2026-05-18
sh.688363,华熙生物,C26化学原料和化学制品制造业,医药医疗,PB,PB低估,48.65,100.0,100.0,4.9,33.5,42.0,63.8,25.2,44.5,"PB=3.38, 低估均值=8.72, 比值=0.39, 分位=4%",-0.0197461212976023,0.0233487589398402,,,,,,,,3.382018,8.71918975,0.3878821423745251,0.0375657400450788,低估价值,价值线内/历史低位,63.8,低估价值,,48.65,39.56,48.545889,39.56,-0.1868448098663925,-0.18510092584770665,2025-05-06,2026-05-18
sh.600064,南京高科,K70房地产业,K70房地产业,PB,PB低估,7.26,78.9,78.9,50.3,32.7,44.2,63.7,44.6,54.2,"PB=0.65, 低估均值=0.82, 比值=0.79, 分位=12%",-0.009549795361528,0.0,,,,,,,,0.651314,0.8203690909090909,0.7939280102304284,0.116734693877551,低估价值,价值线内/历史低位,63.7,低估价值,,7.26,7.64,6.99177204,7.64,0.052341597796143224,0.0927129712312531,2025-05-06,2026-05-18
sh.600507,方大特钢,C31黑色金属冶炼和压延加工业,资源金属,PB,PB低估,4.46,96.8,96.8,0.9,59.4,43.2,63.7,32.5,48.1,"PB=1.08, 低估均值=1.86, 比值=0.58, 分位=10%",0.0444964871194379,0.0931372549019606,,,,,,,,1.080288,1.8633212727272723,0.5797647543726173,0.1008163265306122,低估价值,价值线内/历史低位,63.7,低估价值,,4.46,4.93,4.42799058,4.93,0.10538116591928248,0.11337183558326336,2025-05-06,2026-05-18
sh.603823,百合花,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,10.55,75.0,70.0,50.5,60.0,37.9,63.7,53.2,58.4,"PB=1.83, 低估均值=2.05, 比值=0.89, 分位=13%",0.0,0.1380798274002159,,,,,,,,1.828211,2.053135333333333,0.8904483646637353,0.1260462826193993,低估价值,价值线内/历史低位,63.7,低估价值,,10.55,20.9,10.4153187,20.9,0.9810426540284358,1.0066596713934444,2025-05-06,2026-05-18
sz.002839,张家港行,J66货币金融服务,金融,PE,PE低估,4.19,84.6,84.6,38.0,31.0,45.7,63.7,39.0,51.3,"PE=5.40, 低估均值=7.80, 比值=0.69, 分位=17%",-0.0389908256880733,-0.0117924528301885,,,,,,,,5.401747,7.798274142857143,0.6926849327229345,0.166417538614848,低估价值,价值线内/历史低位,63.7,低估价值,,4.19,4.39,3.9107365,4.39,0.04773269689737458,0.1225507011275242,2025-05-06,2026-05-18
sh.600461,洪城环境,D46水的生产和供应业,D46水的生产和供应业,PB,PB低估,9.47,75.0,64.4,56.6,32.5,49.9,63.6,48.1,55.9,"PB=1.26, 低估均值=1.33, 比值=0.95, 分位=13%",0.0021164021164021,-0.0135416666666665,,,,,,,,1.260725,1.3285629090909092,0.9489388807810928,0.1346938775510204,低估价值,价值线内/历史低位,63.6,低估价值,,9.47,10.3,9.02275084,10.3,0.0876451953537487,0.1415587311064439,2025-05-06,2026-05-18
sz.001914,招商积余,K70房地产业,K70房地产业,PB,PB低估,11.89,75.0,60.7,44.9,63.9,47.8,63.6,53.5,58.6,"PB=1.19, 低估均值=1.22, 比值=0.97, 分位=16%",-0.0230073952341823,0.233402489626556,,,,,,,,1.185216,1.2173965,0.9735661306731208,0.1591836734693877,低估价值,价值线内/历史低位,63.6,低估价值,,11.89,9.75,11.67099809,9.75,-0.17998317914213624,-0.16459587048051683,2025-05-06,2026-05-18
sz.002140,东华科技,E48土木工程建筑业,E48土木工程建筑业,PB,PB低估,9.76,75.0,62.8,50.7,53.2,43.8,63.6,51.8,57.7,"PB=1.54, 低估均值=1.62, 比值=0.95, 分位=16%",-0.0835680751173709,0.0631808278867103,,,,,,,,1.54294,1.6238940000000004,0.9501482239604306,0.1583673469387755,低估价值,价值线内/历史低位,63.6,低估价值,,9.76,10.73,9.5587976,10.73,0.09938524590163933,0.12252612190470491,2025-05-06,2026-05-18
sh.600522,中天科技,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,14.06,85.0,63.0,34.2,34.8,72.6,63.5,42.7,53.1,"价值线=17.37, 现价/价值=0.81, 扣非EPS=0.75, akshare东方财富扣非净利润同比=-4.8%, 市值=478.4亿",-0.0242886884108257,0.0523952095808384,478.3971916082994,17.374086356174477,0.8092511866100688,0.748,0.748,1.0,年报扣非EPS,,,,,低估价值,深度低估,63.5,低估价值,,14.06,43.95,13.76585074,43.95,2.1258890469416785,2.192683171574182,2025-05-06,2026-05-18
sh.600820,隧道股份,E48土木工程建筑业,E48土木工程建筑业,PB,PB低估,5.91,89.4,89.4,37.3,2.7,47.6,63.5,29.4,46.4,"PB=0.60, 低估均值=0.83, 比值=0.72, 分位=1%",-0.0604133545310016,-0.0604133545310016,,,,,,,,0.602339,0.8333480999999999,0.7227939920904601,0.0057142857142857,低估价值,价值线内/历史低位,63.5,低估价值,,5.91,5.72,5.65160889,5.72,-0.0321489001692048,0.012101175316821866,2025-05-06,2026-05-18
sh.600882,妙可蓝多,C14食品制造业,消费,PE,PE低估,26.35,75.0,62.9,32.7,72.7,68.1,63.5,54.1,58.8,"PE=85.57, 低估均值=91.29, 比值=0.94, 分位=17%",0.1193712829226849,0.4712451144611949,,,,,,,,85.57372,91.28950257142856,0.93738839175998,0.1735626007522837,低估价值,价值线内/历史低位,63.5,低估价值,,26.35,19.75,26.35,19.75,-0.2504743833017078,-0.2504743833017078,2025-05-06,2026-05-18
sh.603439,三力制药,C27医药制造业,医药医疗,PE,PE低估,11.96,79.2,79.2,67.2,0.9,30.4,63.5,39.1,51.3,"PE=18.86, 低估均值=25.06, 比值=0.75, 分位=17%",-0.0918754745634016,-0.0814132104454684,,,,,,,,18.856236,25.061078500000004,0.7524111941152092,0.1687242798353909,低估价值,价值线内/历史低位,63.5,低估价值,,11.96,12.86,11.62056324,12.86,0.07525083612040118,0.10665892301447522,2025-05-06,2026-05-18
sz.000544,中原环保,D46水的生产和供应业,D46水的生产和供应业,PB,PB低估,8.2,75.0,64.3,66.1,30.3,26.7,63.5,48.1,55.8,"PB=0.92, 低估均值=0.96, 比值=0.96, 分位=12%",-0.0476190476190476,-0.0191387559808612,,,,,,,,0.920808,0.9571254,0.9620557557034844,0.1179591836734693,低估价值,价值线内/历史低位,63.5,低估价值,,8.2,8.18,7.94498,8.18,-0.0024390243902439046,0.029580942935035548,2025-05-06,2026-05-18
