source,scale,bucket_set,score_floor,top_n,ptv_cap,count,mean_return,median_return,win_rate,min_return,max_return,names,codes
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=0.75,strict_all,50,10,0.75,10,0.18859181076247175,0.04562448346343505,0.7,-0.2172589818478142,1.2202243389304015,大博医疗、博俊科技、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保,"sz.002901,sz.300926,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=0.85,strict_all,50,10,0.85,10,0.1929155645989594,0.07785925869369255,0.8,-0.4358672764941408,1.2202243389304015,大博医疗、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、嘉益股份、海油发展,"sz.002901,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sz.301004,sh.600968"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=1.0,strict_all,50,10,1.0,10,0.12931982346722232,0.07785925869369255,0.7,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=1.1,strict_all,50,10,1.1,10,0.12931982346722232,0.07785925869369255,0.7,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=1.25,strict_all,50,10,1.25,10,0.08079537903124828,0.04562448346343505,0.6,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=1.45,strict_all,50,10,1.45,10,0.08079537903124828,0.04562448346343505,0.6,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=none,strict_all,50,15,none,15,0.1874423941207133,0.1242495996583441,0.6,-0.3776825353147141,1.2569723308558367,赤峰黄金、新华保险、中国人寿、紫金矿业、恒玄科技、中远海控、佐力药业、东鹏饮料,"sh.600988,sh.601336,sh.601628,sh.601899,sh.688608,sh.601919,sz.300181,sh.605499"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=0.6,strict_all,50,15,0.6,15,0.21696600667147947,0.0988564803544456,0.7333333333333333,-0.2172589818478142,1.2202243389304015,大博医疗、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保、长江传媒,"sz.002901,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388,sh.600757"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=0.75,strict_all,50,15,0.75,15,0.1265471360129464,0.0326587479477022,0.6,-0.2172589818478142,1.2202243389304015,大博医疗、博俊科技、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保,"sz.002901,sz.300926,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=0.85,strict_all,50,15,0.85,15,0.11369451224858759,0.0430923585845111,0.6666666666666666,-0.4358672764941408,1.2202243389304015,大博医疗、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、嘉益股份、海油发展,"sz.002901,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sz.301004,sh.600968"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=1.0,strict_all,50,15,1.0,15,0.11991032267163555,0.048156608342359,0.6666666666666666,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
