code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.600521,华海药业,C27医药制造业,医药医疗,PE,PE低估,14.35,99.6,99.6,32.1,1.2,57.0,68.6,28.4,48.5,"PE=18.89, 低估均值=31.22, 比值=0.61, 分位=3%",-0.12286063569682149,-0.07538659793814428,,,,,,,,18.889284,31.216030181818187,0.6051148685460358,0.027755102040816326,低估价值,价值线内/历史低位,68.6,低估价值,,,,,
sh.600761,安徽合力,C34通用设备制造业,C34通用设备制造业,VALUE,基本价值线,16.34,85.0,75.9,51.2,47.7,59.7,68.6,53.0,60.8,"价值线=22.74, 现价/价值=0.72, 扣非EPS=1.25, akshare东方财富扣非净利润同比=-13.8%, 市值=136.0亿",-0.15555555555555567,-0.04556074766355145,135.9965055398112,22.737136634890128,0.7186480981482196,1.25,1.25,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.6,低估价值,,,,,
sh.600008,首创环保,D46水的生产和供应业,D46水的生产和供应业,PB,PB低估,3.16,86.0,86.0,36.9,59.3,58.0,68.3,50.3,59.3,"PB=1.10, 低估均值=1.54, 比值=0.71, 分位=12%",0.006369426751592355,0.019354838709677358,,,,,,,,1.097442,1.539734909090909,0.7127473654851095,0.11591836734693878,低估价值,价值线内/历史低位,68.3,低估价值,,,,,
sh.600685,中船防务,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,24.06,85.0,59.5,53.4,36.2,60.8,68.2,50.1,59.1,"价值线=28.86, 现价/价值=0.83, 扣非EPS=0.24, akshare东方财富扣非净利润同比=605.3%, 市值=340.1亿",0.03886010362694292,0.0317324185248713,340.1320086588121,28.85739905888269,0.833754973929087,0.2374,0.2374,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.2,低估价值,,,,,
sh.601827,三峰环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,8.22,94.2,94.2,51.3,33.6,23.2,68.2,43.0,55.6,"价值线=13.92, 现价/价值=0.59, 扣非EPS=0.69, akshare东方财富扣非净利润同比=1.2%, 市值=137.6亿",-0.021428571428571352,0.02750000000000008,137.6344938992696,13.919073161371074,0.5905565625455987,0.69,0.69,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.2,低估价值,,,,,
sh.600048,保利发展,K70房地产业,K70房地产业,PB,PB低估,8.35,100.0,100.0,5.4,34.1,83.0,68.1,31.8,50.0,"PB=0.51, 低估均值=1.10, 比值=0.47, 分位=3%",0.007237635705669598,0.014580801944106936,,,,,,,,0.513983,1.0987143750000001,0.467804018674098,0.026938775510204082,低估价值,价值线内/历史低位,68.1,低估价值,,,,,
sh.600258,首旅酒店,H61住宿业,消费,VALUE,基本价值线,14.93,85.0,59.8,49.3,42.7,65.9,68.1,51.3,59.7,"价值线=17.96, 现价/价值=0.83, 扣非EPS=0.66, akshare东方财富扣非净利润同比=12.0%, 市值=166.7亿",0.05066854327938053,0.1537867078825348,166.69986903834777,17.96148042863104,0.8312232423893753,0.6567,0.6567,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.1,低估价值,,,,,
sh.601083,锦江航运,G55水上运输业,G55水上运输业,PB,PB低估,11.19,75.0,38.3,44.7,93.6,62.0,68.0,65.9,67.0,"PB=1.62, 低估均值=1.78, 比值=0.91, 分位=60%",0.15599173553719003,0.19042553191489353,,,,,,,,1.615254,1.7792830000000002,0.907811742145572,0.6029411764705882,低估价值,价值线内/历史低位,68.0,低估价值,,,,,
sh.600522,中天科技,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,14.06,85.0,75.3,49.0,34.8,72.6,67.9,49.3,58.6,"价值线=19.46, 现价/价值=0.72, 扣非EPS=0.75, akshare东方财富扣非净利润同比=20.5%, 市值=478.4亿",-0.024288688410825765,0.05239520958083843,478.3971916082994,19.456652060697117,0.7226320312527725,0.748,0.748,1.0,年报扣非EPS,,,,,低估价值,深度低估,67.9,低估价值,,,,,
sh.600132,重庆啤酒,C15酒、饮料和精制茶制造业,消费,PE,PE低估,57.79,75.0,73.9,70.0,35.1,55.1,67.8,55.8,61.8,"PE=24.63, 低估均值=29.37, 比值=0.84, 分位=13%",-0.027104377104377075,0.06095098219203221,,,,,,,,24.634718,29.374437555555556,0.8386447554411425,0.13471502590673576,低估价值,价值线内/历史低位,67.8,低估价值,,,,,
sh.600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,29.59,75.0,55.8,64.8,26.7,81.9,67.8,54.5,61.1,"价值线=34.42, 现价/价值=0.86, 扣非EPS=0.69, akshare东方财富扣非净利润同比=230.2%, 市值=1317.4亿",-0.03678385416666663,-0.11776982707215267,1317.3564489130438,34.41809899769968,0.8597220898800261,0.69,0.69,1.0,年报扣非EPS,,,,,低估价值,价值线内/历史低位,67.8,低估价值,,,,,
sh.600875,东方电气,C34通用设备制造业,C34通用设备制造业,VALUE,基本价值线,16.16,85.0,58.6,42.0,64.3,63.0,67.8,55.1,61.5,"价值线=19.24, 现价/价值=0.84, 扣非EPS=0.64, akshare东方财富扣非净利润同比=0.2%, 市值=500.1亿",0.03589743589743599,0.09782608695652173,500.062920416425,19.23638920302205,0.8400744978408553,0.64,0.64,1.0,年报扣非EPS,,,,,低估价值,深度低估,67.8,低估价值,,,,,
