code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,segment_file,segment_order,end_quote_time,end_quote_trade_date,buy_trade_date,end_trade_date
sh.600095,湘财股份,J67资本市场服务,金融,PB,PB低估,8.07,75.0,63.1,18.9,63.2,84.1,60.7,47.0,53.9,"PB=1.94, 低估均值=2.23, 比值=0.87, 分位=26%",-0.020631067961165,0.2190332326283988,,,,,,,,1.944954,2.229951727272727,0.8721955619993242,0.2587755102040816,低估价值,价值线内/历史低位,60.7,低估价值,,8.07,8.88,8.07,8.88,0.1003717472118959,0.1003717472118959,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600097,开创国际,A04渔业,A04渔业,PB,PB低估,9.81,75.0,65.9,3.6,61.9,33.3,51.7,32.0,41.8,"PB=1.04, 低估均值=1.09, 比值=0.96, 分位=10%",0.0176348547717841,0.0628385698808233,,,,,,,,1.041889,1.0908555,0.9551118365356366,0.1028571428571428,低估价值,价值线内/历史低位,51.7,低估价值,,9.81,10.02,9.73298169,10.02,0.021406727828745975,0.029489247914119776,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600098,广州发展,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,6.5,75.0,68.4,15.9,60.8,44.7,55.8,38.9,47.3,"PB=0.85, 低估均值=0.95, 比值=0.89, 分位=15%",0.0046367851622874,0.0517799352750809,,,,,,,,0.852328,0.9534085454545456,0.8939798201553201,0.1465306122448979,低估价值,价值线内/历史低位,55.8,低估价值,,6.5,7.46,6.1418825,7.46,0.1476923076923078,0.21461131827253288,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600108,亚盛集团,A01农业,A01农业,PB,PB低估,2.87,75.0,55.4,3.3,35.0,56.2,51.2,25.9,38.6,"PB=1.30, 低估均值=1.36, 比值=0.96, 分位=27%",0.0323741007194244,0.0141342756183746,,,,,,,,1.299928,1.359728,0.9560206158878836,0.2657142857142857,低估价值,价值线内/历史低位,51.2,低估价值,,2.87,3.94,2.86033671,3.94,0.37282229965156777,0.3774602081724847,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600109,国金证券,J67资本市场服务,金融,PB,PB低估,8.2,91.0,91.0,32.0,31.7,54.1,66.6,38.2,52.4,"PB=0.89, 低估均值=1.26, 比值=0.70, 分位=3%",-0.0341578327444053,-0.0012180267965896,,,,,,,,0.887973,1.262053909090909,0.7035935577741133,0.0285714285714285,低估价值,价值线内/历史低位,66.6,低估价值,,8.2,8.81,8.0930474,8.81,0.07439024390243909,0.0885887064000146,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600111,北方稀土,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,24.57,75.0,55.6,6.7,88.0,91.6,60.9,51.3,56.1,"PB=3.88, 低估均值=3.96, 比值=0.98, 分位=23%",0.0814260563380282,0.1359223300970875,,,,,,,,3.883746,3.961194272727273,0.9804482518667408,0.2297959183673469,低估价值,价值线内/历史低位,60.9,低估价值,,24.57,51.7,24.5395332,51.7,1.1041921041921041,1.106804541823966,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600114,东睦股份,C33金属制品业,资源金属,VALUE,基本价值线,21.14,0.0,0.0,71.9,61.4,62.1,33.9,63.2,48.5,"价值线=13.27, 现价/价值=1.59, 扣非EPS=0.61, akshare东方财富扣非净利润同比=40.0%, 市值=131.2亿",0.0163461538461537,0.1533006001091108,131.1931173291246,13.269570796021185,1.5931185962954224,0.61,0.61,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,63.2,高质量趋势,,21.14,32.11,20.82896718,32.11,0.5189214758751182,0.5416030820208917,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600116,三峡水利,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,7.21,84.4,84.4,1.6,63.3,53.3,58.5,35.1,46.8,"PB=1.25, 低估均值=1.67, 比值=0.75, 分位=9%",0.0540935672514619,0.0618556701030927,,,,,,,,1.249523,1.6680403,0.749096409721036,0.0926530612244898,低估价值,价值线内/历史低位,58.5,低估价值,,7.21,6.77,7.1138186,6.77,-0.061026352288488295,-0.04833108901596117,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600125,铁龙物流,G53铁路运输业,G53铁路运输业,PB,PB低估,5.71,85.6,85.6,3.6,33.0,48.3,56.1,24.7,40.4,"PB=1.00, 低估均值=1.30, 比值=0.77, 分位=4%",-0.005226480836237,0.0017543859649122,,,,,,,,0.997193,1.301657818181818,0.7660945803659054,0.0448979591836734,低估价值,价值线内/历史低位,56.1,低估价值,,5.71,5.9,5.57914393,5.9,0.03327495621716303,0.05750991084397428,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600132,重庆啤酒,C15酒、饮料和精制茶制造业,消费,PE,PE低估,57.79,75.0,73.9,70.0,35.1,55.1,67.8,55.8,61.8,"PE=24.63, 低估均值=29.37, 比值=0.84, 分位=13%",-0.027104377104377,0.0609509821920322,,,,,,,,24.634718,29.37443755555556,0.8386447554411425,0.1347150259067357,低估价值,价值线内/历史低位,67.8,低估价值,,57.79,52.72,55.49839534,52.72,-0.08773144142585221,-0.050062624747593376,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600137,浪莎股份,C18纺织服装、服饰业,C18纺织服装、服饰业,PE,PE低估,15.96,75.0,61.9,19.9,58.9,16.5,53.8,35.8,44.8,"PE=55.47, 低估均值=59.85, 比值=0.93, 分位=20%",0.0647098065376918,0.0675585284280937,,,,,,,,55.468411,59.84626711111111,0.9268483011148692,0.2029501525940997,低估价值,价值线内/历史低位,53.8,低估价值,,15.96,23.08,15.79482996,23.08,0.44611528822055124,0.4612376365209061,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600141,兴发集团,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,20.48,75.0,73.2,32.8,28.3,56.1,57.9,36.9,47.4,"PB=1.04, 低估均值=1.14, 比值=0.90, 分位=6%",-0.0661194710442316,-0.0438842203548086,,,,,,,,1.035331,1.144618272727273,0.9045207687739644,0.0563265306122449,低估价值,价值线内/历史低位,57.9,低估价值,,20.48,32.2,19.52075776,32.2,0.572265625,0.6495261298708932,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600143,金发科技,C29橡胶和塑料制品业,资源金属,VALUE,基本价值线,11.11,85.0,63.6,61.4,57.6,68.8,73.6,62.3,67.9,"价值线=13.80, 现价/价值=0.81, 扣非EPS=0.26, akshare东方财富扣非净利润同比=168.6%, 市值=293.6亿",0.0045207956600361,0.086021505376344,293.5711853944657,13.79912927375036,0.8051232639101509,0.2555,0.2555,1.0,年报扣非EPS,,,,,低估价值,深度低估,73.6,低估价值,,11.11,17.43,10.99988879,17.43,0.568856885688569,0.5845614744619614,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600149,廊坊发展,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,4.69,86.6,86.6,2.9,40.5,33.6,55.7,24.8,40.3,"PB=7.45, 低估均值=9.88, 比值=0.75, 分位=2%",0.1009389671361504,0.0707762557077626,,,,,,,,7.454317,9.876588599999998,0.7547461276254841,0.0179591836734693,低估价值,价值线内/历史低位,55.7,低估价值,,4.69,6.48,4.69,6.48,0.38166311300639655,0.38166311300639655,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,29.59,75.0,55.8,64.8,26.7,81.9,67.8,54.5,61.1,"价值线=34.42, 现价/价值=0.86, 扣非EPS=0.69, akshare东方财富扣非净利润同比=230.2%, 市值=1317.4亿",-0.0367838541666666,-0.1177698270721526,1317.3564489130438,34.41809899769968,0.8597220898800261,0.69,0.69,1.0,年报扣非EPS,,,,,低估价值,价值线内/历史低位,67.8,低估价值,,29.59,38.17,29.35014346,38.17,0.28996282527881045,0.3005047165108474,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600153,建发股份,L72商务服务业,L72商务服务业,VALUE,基本价值线,10.44,100.0,100.0,24.0,84.4,54.6,71.1,53.5,62.3,"价值线=20.64, 现价/价值=0.51, 扣非EPS=0.46, akshare东方财富扣非净利润同比=-65.3%, 市值=432.3亿",0.0215264187866925,0.1106382978723403,432.3002915727391,20.639297427559374,0.5058311716589543,0.46,0.46,1.0,年报扣非EPS,,,,,低估价值,深度低估,71.1,低估价值,,10.44,9.82,9.92180016,9.82,-0.059386973180076574,-0.01026025099864536,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600161,天坛生物,C27医药制造业,医药医疗,PE,PE低估,19.21,87.8,87.8,21.4,25.9,76.4,63.9,34.5,49.2,"PE=25.72, 低估均值=36.87, 比值=0.70, 分位=11%",-0.06201171875,-0.0964252116650987,,,,,,,,25.724208,36.871856,0.6976651243159554,0.1089599279603782,低估价值,价值线内/历史低位,63.9,低估价值,,19.21,13.52,18.96073104,13.52,-0.2961998958875586,-0.28694732436856507,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600162,香江控股,K70房地产业,K70房地产业,PB,PB低估,1.66,81.9,81.9,30.0,2.4,30.8,55.9,23.1,39.5,"PB=0.92, 低估均值=1.26, 比值=0.73, 分位=16%",-0.0459770114942529,-0.0777777777777778,,,,,,,,0.924718,1.2649415454545456,0.7310361520837793,0.1559183673469387,低估价值,价值线内/历史低位,55.9,低估价值,,1.66,1.82,1.65023588,1.82,0.09638554216867479,0.1028726390314576,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
