code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,portfolio_score,final_selected,final_rank,portfolio_profile
sh.600060,海信视像,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,22.05,82.1,82.1,83.4,29.8,61.7,80.5,61.5,69.1,"Q1价值线=32.66, 现价/价值=0.68, akshare东方财富扣非净利润同比=26.6%, 市值=290.0亿",-0.0350109409190372,-0.0383776711731356,290.0130099480065,32.65956447449737,0.6751467863944731,1.382,1.382,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,80.5,价值线左侧确认,2026-05-19 16:11:33,2026-05-19,22.05,24.6,0.1156462585034014,0.1156462585034014,0.26574900998201,22.05,24.6,2025-09-01,2026-05-18,100.746,True,21,focused
sh.600489,中金黄金,B09有色金属矿采选业,资源金属,VALUE,基本价值线,17.57,75.0,44.7,80.8,97.0,85.8,78.1,74.6,54.2,"Q1价值线=18.75, 现价/价值=0.94, akshare东方财富扣非净利润同比=77.0%, 市值=850.1亿",0.180779569892473,0.2399435426958363,850.0777194801643,18.75104241599236,0.937014572854623,0.73,0.73,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,78.1,价值线左侧确认,2026-05-19 16:11:43,2026-05-19,,,,,0.76950528583731,,,,,100.27,True,22,focused
sh.688578,艾力斯,C27医药制造业,医药医疗,PE,PE低估,116.98,27.0,27.0,100.0,95.9,74.2,56.9,91.1,74.0,"PE=28.85, 低估均值=23.19, 比值=1.24, 分位=32%",0.1855680551332725,0.2185416666666666,,,,,,,,28.845244,23.185918,1.244084620673635,0.3200468933177022,高质量趋势,估值有约束的高质量,91.1,高质量趋势,2026-05-19 16:11:43,2026-05-19,116.98,89.95,-0.2310651393400581,-0.2283891930615957,,116.57431336,89.95,2025-09-01,2026-05-18,100.137,True,23,focused
sz.001301,尚太科技,C30非金属矿物制品业,资源金属,VALUE,基本价值线,59.26,75.0,55.6,87.2,76.5,63.4,78.1,62.8,46.1,"Q1价值线=68.84, 现价/价值=0.86, akshare东方财富扣非净利润同比=40.9%, 市值=154.1亿",0.1544905513345023,0.2494201981868016,154.06728994614534,68.84118718026242,0.8608218775313412,3.11,3.11,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,78.1,价值线左侧确认,2026-05-19 15:34:45,2026-05-19,59.26,77.33,0.3049274384070199,0.3049274384070199,0.40883270028056,59.26,77.33,2025-09-01,2026-05-18,99.642,True,24,focused
sz.002947,恒铭达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,43.7,14.9,14.9,93.5,100.0,69.4,52.5,88.2,70.3,"价值线=38.15, 现价/价值=1.15, 扣非EPS=1.88, akshare东方财富扣非净利润同比=38.9%, 市值=104.3亿",0.302145411203814,0.3072090936284775,104.28963339488298,38.15387513778771,1.1453620331403611,1.88,1.88,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,88.2,高质量趋势,2026-05-19 15:34:36,2026-05-19,43.7,86.84,0.9871853546910754,0.999669290068976,,43.4271809,86.84,2025-09-01,2026-05-18,97.942,True,25,focused
sh.601098,中南传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,13.17,86.2,86.2,75.0,31.8,46.2,78.2,56.1,64.7,"Q1价值线=20.36, 现价/价值=0.65, akshare东方财富扣非净利润同比=34.5%, 市值=237.8亿",0.015420200462606,-0.0379839298758217,237.75143454365585,20.357369486225828,0.6469401662582714,0.86,0.86,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,78.2,价值线左侧确认,2026-05-19 16:12:02,2026-05-19,,,,-0.142617869157698,0.34540689399905,13.06302009,11.2,2025-09-01,2026-05-18,97.92,True,26,focused
sz.300533,冰川网络,I64互联网和相关服务,I64互联网和相关服务,RIGHT,右侧趋势,41.8,0.0,0.0,70.0,99.3,78.5,38.8,84.9,61.8,轻资产行业不做左侧估值，仅按右侧趋势观察,0.1617565314063369,0.5899581589958158,,,,,,,,,,,,高质量趋势,右侧高质量,84.9,高质量趋势,2026-05-19 15:34:03,2026-05-19,41.8,26.23,-0.3724880382775118,-0.3563814849380875,,40.753955,26.23,2025-09-01,2026-05-18,97.038,True,27,focused
sz.002594,比亚迪,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,109.7,100.0,100.0,76.9,29.8,100.0,86.1,65.1,75.6,"价值线=209.60, 现价/价值=0.52, 扣非EPS=12.71, akshare东方财富扣非净利润同比=10.4%, 市值=3192.0亿",0.045957284515637,-0.6848968805652897,3191.992685995279,209.60406023522643,0.5233677242553894,12.71,12.71,1.0,年报扣非EPS,,,,,低估价值,深度低估,86.1,低估价值,2026-05-19 15:34:12,2026-05-19,109.7,94.51,-0.138468550592525,-0.138468550592525,,109.7,94.51,2025-09-01,2026-05-18,96.197,True,28,focused
sz.300763,锦浪科技,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,69.19,0.0,0.0,85.0,99.3,81.7,43.6,85.3,64.4,"价值线=49.87, 现价/价值=1.39, 扣非EPS=1.61, akshare东方财富扣非净利润同比=71.8%, 市值=273.8亿",0.1989256627967421,0.285342745680847,273.8272646266689,49.86797268768642,1.3874636619644385,1.61,1.61,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,85.3,高质量趋势,2026-05-19 15:34:45,2026-05-19,69.19,104.11,0.5046972105795635,0.5046972105795635,,69.19,104.11,2025-09-01,2026-05-18,95.702,True,29,focused
sh.688313,仕佳光子,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,83.49,92.8,92.8,50.2,85.0,97.2,79.7,71.5,75.6,"价值线=139.01, 现价/价值=0.60, 扣非EPS=0.11, akshare东方财富扣非净利润同比=12667.4%, 市值=377.4亿",0.529120879120879,1.4018987341772151,377.39278515709856,139.0050124785911,0.6006258228483575,0.1065,0.1065,1.0,年报扣非EPS,,,,,低估价值,深度低估,79.7,低估价值,2026-05-19 16:11:34,2026-05-19,,,,1.0771349862258952,,83.49,173.42,2025-09-01,2026-05-18,94.846,True,30,focused
