code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy
sz.000039,中集集团,C33金属制品业,资源金属,VALUE,基本价值线,8.07,100.0,100.0,70.5,34.2,63.7,86.0,58.3,69.6,"Q1价值线=19.10, 现价/价值=0.42, akshare东方财富扣非净利润同比=51.2%, 市值=449.1亿",-0.0146520146520146,0.034615384615384714,449.14808516129034,19.103441339964878,0.4224369764790681,0.62,0.62,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,86.0,价值线左侧确认,2026-05-19 15:34:33,2026-05-19,8.07,11.64,0.4423791821561338,0.4423791821561338,0.51184537741369
sz.002353,杰瑞股份,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,47.2,75.0,51.5,90.6,100.0,66.1,81.3,89.4,85.4,"价值线=53.07, 现价/价值=0.89, 扣非EPS=2.37, akshare东方财富扣非净利润同比=33.9%, 市值=478.4亿",0.2016293279022403,0.3649508386350493,478.40063891665824,53.07300797692399,0.8893409625571335,2.37,2.37,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,85.4,低估且高质量,2026-05-19 15:34:24,2026-05-19,47.2,138.81,1.9408898305084743,1.9495792911000556,
sz.002475,立讯精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,45.27,0.0,0.0,78.4,100.0,100.0,43.5,85.3,64.4,"价值线=28.64, 现价/价值=1.58, 扣非EPS=1.63, akshare东方财富扣非净利润同比=12.9%, 市值=3247.9亿",0.2491721854304636,0.4177889132477295,3247.8602015290367,28.638463042511955,1.5807412546127075,1.63,1.63,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,85.3,高质量趋势,2026-05-19 15:34:30,2026-05-19,45.27,72.4,0.5992931301082394,0.60431141621817,
sz.300763,锦浪科技,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,69.19,0.0,0.0,85.0,99.3,81.7,43.6,85.3,64.4,"价值线=49.87, 现价/价值=1.39, 扣非EPS=1.61, akshare东方财富扣非净利润同比=71.8%, 市值=273.8亿",0.19892566279674218,0.28534274568084705,273.8272646266689,49.86797268768642,1.3874636619644385,1.61,1.61,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,85.3,高质量趋势,2026-05-19 15:34:45,2026-05-19,69.19,107.95,0.5601965601965604,0.5601965601965604,
sz.300926,博俊科技,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,28.82,75.0,40.4,100.0,91.2,53.4,82.0,88.7,85.3,"价值线=29.80, 现价/价值=0.97, 扣非EPS=1.51, akshare东方财富扣非净利润同比=51.7%, 市值=116.8亿",0.0838661150808575,0.19883527454242933,116.79010486702254,29.80073772716577,0.9670901527289457,1.51,1.51,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,85.3,低估且高质量,2026-05-19 15:34:36,2026-05-19,28.82,21.9,-0.24011103400416378,-0.24011103400416378,
sh.601877,正泰电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,27.9,85.4,85.4,82.4,97.2,72.0,84.3,86.2,85.2,"价值线=42.77, 现价/价值=0.65, 扣非EPS=1.72, akshare东方财富扣非净利润同比=32.6%, 市值=596.7亿",0.22745270567531883,0.24442462087421934,596.6842800059477,42.76986762878724,0.6523284159341486,1.72,1.72,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,85.2,低估且高质量,2026-05-19 16:12:02,2026-05-19,27.9,33.47,0.19964157706093189,0.19964157706093189,
sz.300533,冰川网络,I64互联网和相关服务,I64互联网和相关服务,RIGHT,右侧趋势,41.8,0.0,0.0,70.0,99.3,78.5,38.8,84.9,61.8,轻资产行业不做左侧估值，仅按右侧趋势观察,0.16175653140633695,0.5899581589958158,,,,,,,,,,,,高质量趋势,右侧高质量,84.9,高质量趋势,2026-05-19 15:34:03,2026-05-19,41.8,27.28,-0.34736842105263155,-0.3306171143389641,
sh.601336,新华保险,J68保险业,金融,PE,PE低估,65.75,87.4,87.4,94.0,65.0,87.6,86.9,82.5,84.7,"PE=6.85, 低估均值=9.20, 比值=0.74, 分位=3%",0.0027451578465762516,0.23543780533633973,,,,,,,,6.849564,9.1956168,0.7448727093543089,0.028967768257853937,低估且高质量,低估且高质量,84.7,低估且高质量,2026-05-19 16:11:36,2026-05-19,65.75,60.43,-0.08091254752851706,-0.07164008873480032,
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.59,94.3,94.3,71.2,82.3,78.8,84.7,77.4,81.0,"Q1价值线=12.86, 现价/价值=0.59, akshare东方财富扣非净利润同比=98.2%, 市值=2199.6亿",0.03830369357045149,0.05563282336578568,2199.5952282857143,12.860048687245165,0.590199942829758,0.35,0.35,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,84.7,价值线左侧确认,2026-05-19 16:11:51,2026-05-19,7.59,5.91,-0.2213438735177865,-0.20986238381703182,0.98247678084919
sz.300373,扬杰科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,69.1,0.0,0.0,82.2,100.0,81.7,42.8,84.2,63.5,"价值线=40.06, 现价/价值=1.72, 扣非EPS=1.76, akshare东方财富扣非净利润同比=32.3%, 市值=374.3亿",0.26279239766081863,0.4183087027914614,374.29423766827273,40.06473008676673,1.7247089859423148,1.76,1.76,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,84.2,高质量趋势,2026-05-19 15:34:12,2026-05-19,69.1,79.61,0.15209840810419695,0.16676700286420565,
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,21.71,89.1,89.1,76.8,98.8,68.1,84.3,83.8,84.0,"价值线=34.66, 现价/价值=0.63, 扣非EPS=2.03, akshare东方财富扣非净利润同比=10.2%, 市值=386.2亿",0.25491329479768776,0.27555816686251466,386.15151310512886,34.65888463994577,0.6263906131294931,2.026,2.026,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,84.0,低估且高质量,2026-05-19 16:11:59,2026-05-19,21.71,18.64,-0.1414094887148779,-0.1414094887148779,
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,14.28,85.2,85.2,79.0,100.0,66.0,83.2,84.7,83.9,"PB=4.49, 低估均值=10.74, 比值=0.42, 分位=28%",0.221556886227545,0.33457943925233646,,,,,,,,4.494497,10.739101857142856,0.41851702868527996,0.28296067848882034,低估且高质量,低估且高质量,83.9,低估且高质量,2026-05-19 16:11:58,2026-05-19,14.28,27.78,0.9453781512605044,0.9453781512605044,
