bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,train_ret_count,train_mean_return,train_median_return,train_win_rate,min_return,max_return,train_names,codes,validate_ret_count,validate_mean_return,validate_median_return,validate_win_rate,validate_names,overfit_gap,joint_score
right_momentum,value,,,,,,,0.8,,,60.0,train,19,17,0.33848346615165353,0.167459539825582,0.5882352941176471,-0.3563814849380875,3.402231391399943,蓝思科技、芯动联科、胜宏科技、伊之密、同飞股份、稳健医疗、上能电气、特锐德,"sz.300433,sh.688582,sz.300476,sz.300415,sz.300990,sz.300888,sz.300827,sz.300001",20,0.3303108666840303,0.2016367237384425,0.9,佰维存储、锐科激光、麦捷科技、南亚新材、凌云光、宇瞳光学、普冉股份、路维光电,0.00817259946762322,0.3837345547394798
all,momentum,,,0.0,0.35,,,,,70.0,,train,20,17,0.07159340857272156,-0.0760822037603848,0.47058823529411764,-0.3933674226045848,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、新强联、世华科技、运达股份,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300850,sh.688093,sz.300772",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.3824767184098719
all,value,,,0.0,0.35,0.0,0.8,0.8,,,,train,20,17,0.3963749092420818,0.1304798394726951,0.7058823529411765,-0.3776825353147141,4.188522004581535,长芯博创、新强联、成都先导、中国通号、时代电气、运达股份、微导纳米、新强联,"sz.300548,sz.300850,sh.688222,sh.688009,sh.688187,sz.300772,sh.688147,sz.300850",20,0.32867054044661626,0.2054237829209283,0.9,锐科激光、麦捷科技、宇瞳光学、路维光电、明阳电路、聚飞光电、上海新阳、电连技术,0.06770436879546554,0.38139519078224987
right_momentum,hybrid,,,-0.2,0.2,,,0.8,,,60.0,train,13,12,0.4162221799175074,0.1309869221109305,0.5,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、南微医学、伊之密、芯动联科,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sh.688029,sz.300415,sh.688582",14,0.3629488227407296,0.2970150585691812,0.7857142857142857,佰维存储、芯碁微装、华丰科技、光库科技、欧陆通、德科立、龙磁科技、聚飞光电,0.05327335717677778,0.3808000301988164
right_momentum,value,,,-0.2,0.2,,,0.8,,,60.0,train,13,12,0.41622217991750726,0.1309869221109305,0.5,-0.3563814849380875,3.402231391399943,蓝思科技、芯动联科、胜宏科技、伊之密、稳健医疗、上能电气、特锐德、锦浪科技,"sz.300433,sh.688582,sz.300476,sz.300415,sz.300888,sz.300827,sz.300001,sz.300763",14,0.3629488227407296,0.2970150585691812,0.7857142857142857,佰维存储、麦捷科技、宇瞳光学、明阳电路、聚飞光电、华虹公司、铂科新材、华丰科技,0.05327335717677767,0.3808000301988164
right_momentum,momentum,,,-0.2,0.2,,,0.8,,,60.0,train,13,12,0.41622217991750726,0.1309869221109305,0.5,-0.3563814849380875,3.402231391399943,胜宏科技、冰川网络、南微医学、锦浪科技、伊之密、宁德时代、艾力斯、芯动联科,"sz.300476,sz.300533,sh.688029,sz.300763,sz.300415,sz.300750,sh.688578,sh.688582",14,0.3629488227407296,0.2970150585691812,0.7857142857142857,佰维存储、欧陆通、芯碁微装、华丰科技、德科立、光库科技、龙磁科技、明阳电路,0.05327335717677767,0.3808000301988164
all,hybrid,,,-0.2,0.2,0.2,1.5,,,,,train,20,19,0.2937745691207076,0.2307336015602865,0.631578947368421,-0.4109851606618088,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、南微医学、三生国健、稳健医疗,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sh.688029,sh.688336,sz.300888",20,0.2937689069325783,0.2970150585691812,0.7,佰维存储、芯碁微装、华丰科技、光库科技、欧陆通、震裕科技、伟测科技、德科立,5.6621881293072995e-06,0.3798399677113633
right_momentum,hybrid,,,,,,,,,,60.0,train,19,17,0.33848346615165353,0.167459539825582,0.5882352941176471,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.017304045017063674,0.3791688319647596
right_momentum,hybrid,,,,,,,0.8,,,60.0,train,19,17,0.33848346615165353,0.167459539825582,0.5882352941176471,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.017304045017063674,0.3791688319647596
all,momentum,,,,,,,,,,,train,20,18,0.6188842400331146,0.18406934766691815,0.6111111111111112,-0.3563814849380875,5.046035995587445,仕佳光子、捷佳伟创、胜宏科技、仕佳光子、同飞股份、冰川网络、万辰集团、阳光电源,"sh.688313,sz.300724,sz.300476,sh.688313,sz.300990,sz.300533,sz.300972,sz.300274",20,0.3962115592981656,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、欧科亿、天承科技、长盈通、仕佳光子,0.222672680734949,0.3778012429546478
right_momentum,value,,,,,,,0.8,,,,train,20,18,0.3112337415432389,0.1325592036423396,0.5555555555555556,-0.3933674226045848,3.402231391399943,蓝思科技、芯动联科、胜宏科技、伊之密、同飞股份、稳健医疗、上能电气、特锐德,"sz.300433,sh.688582,sz.300476,sz.300415,sz.300990,sz.300888,sz.300827,sz.300001",20,0.3303108666840303,0.2016367237384425,0.9,佰维存储、锐科激光、麦捷科技、南亚新材、凌云光、宇瞳光学、普冉股份、路维光电,0.0,0.3764574203759278
all,momentum,,,0.0,0.35,,,,,70.0,60.0,train,20,16,0.038005337582282056,-0.09948970001103345,0.4375,-0.3776825353147141,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、运达股份、中科电气、扬杰科技,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300772,sz.300035,sz.300373",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.37565677044286283
all,momentum,,,,,,,0.8,,,,train,20,18,0.6188842400331146,0.18406934766691815,0.6111111111111112,-0.3563814849380875,5.046035995587445,仕佳光子、捷佳伟创、胜宏科技、仕佳光子、同飞股份、冰川网络、万辰集团、阳光电源,"sh.688313,sz.300724,sz.300476,sh.688313,sz.300990,sz.300533,sz.300972,sz.300274",20,0.3864265783950158,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材,0.23245766163809878,0.37290875250307287
right_momentum,hybrid,,,,,,,,,70.0,60.0,train,15,13,0.35035764534850145,0.167459539825582,0.5384615384615384,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.029178224213911585,0.37241032951962155
right_momentum,hybrid,,,,,,,0.8,,70.0,60.0,train,15,13,0.35035764534850145,0.167459539825582,0.5384615384615384,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.029178224213911585,0.37241032951962155
right_momentum,hybrid,,,,,0.2,1.5,,,,60.0,train,12,10,0.4246025666310609,0.18406934766691815,0.6,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.10342314549647103,0.36991890865728416
right_momentum,hybrid,,,,,0.2,1.5,,,70.0,60.0,train,12,10,0.4246025666310609,0.18406934766691815,0.6,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.10342314549647103,0.36991890865728416
right_momentum,hybrid,,,,,0.2,1.5,0.8,,,60.0,train,12,10,0.4246025666310609,0.18406934766691815,0.6,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.10342314549647103,0.36991890865728416
right_momentum,hybrid,,,,,0.2,1.5,0.8,,70.0,60.0,train,12,10,0.4246025666310609,0.18406934766691815,0.6,-0.3563814849380875,3.402231391399943,艾力斯、宁德时代、胜宏科技、锦浪科技、冰川网络、扬杰科技、蓝思科技、同飞股份,"sh.688578,sz.300750,sz.300476,sz.300763,sz.300533,sz.300373,sz.300433,sz.300990",20,0.32117942113458986,0.2016367237384425,0.9,莱特光电、联瑞新材、佰维存储、南亚新材、杰普特、鼎通科技、瑞可达、芯碁微装,0.10342314549647103,0.36991890865728416
right_momentum,momentum,,,,,0.0,0.8,,,,60.0,train,16,14,0.3109416018760974,0.1325592036423396,0.5714285714285714,-0.3563814849380875,3.402231391399943,胜宏科技、同飞股份、冰川网络、万辰集团、蓝思科技、乐鑫科技、扬杰科技、南微医学,"sz.300476,sz.300990,sz.300533,sz.300972,sz.300433,sh.688018,sz.300373,sh.688029",20,0.30423203616013955,0.2069586770786199,0.9,鼎通科技、胜蓝股份、菲沃泰、长川科技、鼎龙股份、欧陆通、瑞可达、三环集团,0.0067095657159578215,0.36924118475751827
