code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,end_quote_time,end_quote_trade_date
sz.300568,星源材质,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,9.46,99.7,99.7,2.8,28.1,55.4,63.9,24.4,44.1,"PB=1.28, 低估均值=2.80, 比值=0.46, 分位=5%",-0.0851063829787233,-0.03763987792472012,,,,,,,,1.283821,2.800342285714286,0.45845145664846276,0.05430528375733855,低估价值,价值线内/历史低位,63.9,低估价值,,9.46,16.58,9.41964364,16.58,0.7526427061310779,0.7601515124833318,,
sz.300482,万孚生物,C27医药制造业,医药医疗,PE,PE低估,20.93,96.1,96.1,24.3,1.4,43.5,63.4,22.8,43.1,"PE=18.92, 低估均值=32.31, 比值=0.59, 分位=11%",-0.1202185792349727,-0.07101642254771423,,,,,,,,18.924962,32.31144925,0.5857045239157758,0.11120401337792642,低估价值,价值线内/历史低位,63.4,低估价值,,20.93,18.17,20.54277407,18.17,-0.13186813186813173,-0.11550407271747787,,
sz.300088,长信科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,5.88,75.0,43.9,58.2,28.0,54.2,63.2,47.9,55.5,"价值线=6.24, 现价/价值=0.94, 扣非EPS=0.13, akshare东方财富扣非净利润同比=112.8%, 市值=146.2亿",-0.045454545454545525,-0.06666666666666665,146.2090621442769,6.23608726071963,0.9428989291149625,0.13,0.13,1.0,年报扣非EPS,,,,,低估价值,价值线内/历史低位,63.2,低估价值,,5.88,7.21,5.81874804,7.21,0.22619047619047628,0.2390981617413357,,
sz.300009,安科生物,C27医药制造业,医药医疗,PE,PE低估,8.27,96.7,96.7,10.1,31.3,41.4,63.0,26.5,44.7,"PE=19.81, 低估均值=46.63, 比值=0.42, 分位=10%",-0.047235023041474644,0.0,,,,,,,,19.81056,46.626707625,0.42487580635820194,0.10244897959183673,低估价值,价值线内/历史低位,63.0,低估价值,,8.27,8.48,8.12642453,8.48,0.025392986698911768,0.043509352568859905,,
sz.300481,濮阳惠成,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,13.67,100.0,100.0,8.4,26.2,32.6,63.0,22.9,42.9,"PB=1.65, 低估均值=3.43, 比值=0.48, 分位=4%",-0.09289980092899808,-0.07572684246112238,,,,,,,,1.651174,3.4296404285714286,0.48144230696737345,0.043478260869565216,低估价值,价值线内/历史低位,63.0,低估价值,,13.67,15.23,13.28585933,15.23,0.11411850768105336,0.1463315711622848,,
sz.300059,东方财富,J67资本市场服务,金融,PB,PB低估,20.99,75.0,56.8,35.1,26.2,100.0,62.7,43.7,53.2,"PB=3.98, 低估均值=4.00, 比值=0.99, 分位=19%",-0.06461675579322645,-0.08699434536755113,,,,,,,,3.978735,3.9998996000000004,0.9947087171888013,0.19183673469387755,低估价值,价值线内/历史低位,62.7,低估价值,,20.99,19.77,20.88582663,19.77,-0.058122915674130526,-0.053425064268093125,,
sz.300207,欣旺达,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,19.41,75.0,47.5,51.3,25.0,70.3,62.4,46.1,54.3,"价值线=21.16, 现价/价值=0.92, 扣非EPS=0.86, akshare东方财富扣非净利润同比=-6.0%, 市值=362.2亿",-0.11892873354516575,-0.11852861035422346,362.2478122863035,21.16072886641794,0.917265190746981,0.86,0.86,1.0,年报扣非EPS,,,,,低估价值,价值线内/历史低位,62.4,低估价值,,19.41,25.1,19.2137649,25.1,0.29314786192684195,0.3063551121102768,,
sz.300446,航天智造,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,17.8,75.0,60.7,44.3,27.8,65.4,61.7,43.2,52.4,"PB=2.77, 低估均值=2.83, 比值=0.98, 分位=15%",-0.12787849093581571,0.05512744516893897,,,,,,,,2.768126,2.8279919,0.9788309506827089,0.15217391304347827,低估价值,价值线内/历史低位,61.7,低估价值,,17.8,18.61,17.5031494,18.61,0.045505617977527946,0.06323722518188624,,
sz.300505,川金诺,C26化学原料和化学制品制造业,资源金属,PB,PB低估,17.25,77.9,77.9,12.3,87.8,64.2,61.1,49.8,55.4,"PB=1.81, 低估均值=2.30, 比值=0.79, 分位=14%",0.0883280757097793,0.12597911227154035,,,,,,,,1.812771,2.298580875,0.7886479086797413,0.14054054054054055,低估价值,价值线内/历史低位,61.1,低估价值,,17.25,24.31,16.95680175,24.31,0.40927536231884054,0.4336429922582541,,
sz.300575,中旗股份,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,5.95,98.3,98.3,0.0,30.9,37.4,60.9,21.4,41.1,"PB=1.32, 低估均值=2.47, 比值=0.54, 分位=8%",-0.08320493066255774,0.018835616438356295,,,,,,,,1.322848,2.471905111111111,0.5351532281938547,0.07680945347119646,低估价值,价值线内/历史低位,60.9,低估价值,,5.95,6.87,5.9006626,6.87,0.1546218487394957,0.16427602554330067,,
sz.300196,长海股份,C30非金属矿物制品业,资源金属,PB,PB低估,11.77,82.6,82.6,27.9,41.5,30.8,59.6,35.8,47.7,"PB=1.04, 低估均值=1.38, 比值=0.76, 分位=11%",0.044365572315882895,0.13391136801541403,,,,,,,,1.043999,1.3757293333333331,0.7588694772324401,0.1073469387755102,低估价值,价值线内/历史低位,59.6,低估价值,,11.77,19.56,11.29983558,19.56,0.6618521665250636,0.7309986381235469,,
sz.300428,立中集团,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,17.45,83.1,83.1,14.0,55.2,43.9,59.1,36.4,47.7,"PB=1.51, 低估均值=1.90, 比值=0.80, 分位=3%",-0.04696886947023482,0.07782581840642355,,,,,,,,1.5131,1.902347,0.7953859101415252,0.031020408163265307,低估价值,价值线内/历史低位,59.1,低估价值,,17.45,21.93,17.1113653,21.93,0.25673352435530084,0.2816043381412703,,
sz.300737,科顺股份,C30非金属矿物制品业,资源金属,PB,PB低估,4.79,95.3,95.3,0.0,33.1,31.5,58.9,21.1,40.0,"PB=1.09, 低估均值=1.77, 比值=0.61, 分位=11%",-0.022448979591836782,0.01698513800424628,,,,,,,,1.085642,1.7743672857142858,0.6118473941334903,0.10732538330494037,低估价值,价值线内/历史低位,58.9,低估价值,,4.79,7.42,4.46149701,7.42,0.5490605427974948,0.6631189000841669,,
sz.300019,硅宝科技,C26化学原料和化学制品制造业,半导体/电子,PB,PB低估,18.98,75.0,59.9,10.0,95.5,54.9,58.8,49.9,54.3,"PB=2.84, 低估均值=2.99, 比值=0.95, 分位=21%",0.06330532212885154,0.30178326474622774,,,,,,,,2.83514,2.9934374545454547,0.9471185027416944,0.2073469387755102,低估价值,价值线内/历史低位,58.8,低估价值,,18.98,17.42,18.36345368,17.42,-0.08219178082191769,-0.05137670159658103,,
sz.300610,晨化股份,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,10.56,75.0,69.7,32.8,55.3,38.1,58.8,43.6,51.2,"PB=1.92, 低估均值=2.13, 比值=0.90, 分位=12%",-0.022222222222222254,0.0623742454728371,,,,,,,,1.918998,2.130081111111111,0.9009037214545299,0.11641025641025642,低估价值,价值线内/历史低位,58.8,低估价值,,10.56,12.27,10.37342592,12.27,0.16193181818181812,0.18283005967617671,,
sz.300070,碧水源,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,4.53,93.4,93.4,15.0,30.2,42.2,58.4,28.3,43.4,"价值线=7.60, 现价/价值=0.60, 扣非EPS=0.01, akshare东方财富扣非净利润同比=-37.1%, 市值=164.9亿",-0.034115138592750616,-0.03205128205128194,164.86021756923913,7.599151792662803,0.5961191621904229,0.0092,0.0092,1.0,年报扣非EPS,,,,,低估价值,深度低估,58.4,低估价值,,4.53,3.73,4.53,3.73,-0.17660044150110377,-0.17660044150110377,,
