code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,total_score,selection_bucket,valuation_state,selection_mode,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sz.002311,海大集团,C13农副食品加工业,消费,VALUE,基本价值线,54.38,75.0,50.8,92.5,86.9,74.3,81.4,86.9,84.1,84.1,低估且高质量,低估且高质量,低估且高质量,"价值线=60.79, 现价/价值=0.89, 市值=903.8亿",0.08586261980830678,0.10979591836734692,903.7915867158672,60.790193610124334,0.8945521764376032,,,,,,54.38,45.62,-0.16108863552776764,-0.14242611258995008
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,74.8,88.2,67.0,88.0,79.6,83.8,83.8,低估且高质量,深度低估且高质量,低估且高质量,"价值线=34.22, 现价/价值=0.45, 市值=273.4亿",-0.009664948453608324,0.21023622047244106,273.3525316455696,34.224627587188614,0.4490918114695129,,,,,,15.37,18.93,0.23162003903708528,0.3142200856396209
sh.603979,金诚信,B11开采专业及辅助性活动,资源金属,VALUE,基本价值线,37.11,85.0,79.6,100.0,47.1,61.8,83.4,75.0,79.2,83.4,低估价值,深度低估,低估价值,"价值线=53.56, 现价/价值=0.69, 市值=228.7亿",-0.0957602339181286,-0.058838447882323064,228.72466926070038,53.55665681818182,0.6929110628765315,,,,,,37.11,69.52,0.8733495014820802,0.8925532392002449
sz.000333,美的集团,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,74.05,85.0,72.4,93.0,33.4,96.2,83.4,72.2,77.8,83.4,低估价值,深度低估,低估价值,"价值线=99.64, 现价/价值=0.74, 市值=5245.7亿",-0.025144813059505,0.02548123528597146,5245.707444852941,99.64038833121417,0.7431725351556311,,,,,,74.05,80.38,0.08548278190411884,0.1450952980239475
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,47.5,95.5,62.0,82.6,69.1,75.9,82.6,低估价值,价值线内/历史低位,低估价值,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.21069182389937113,,,,10.973479,19.144063499999998,0.5732053176693652,0.04254007398273736,,7.7,5.92,-0.23116883116883125,-0.18913180205074598
sz.000039,中集集团,C33金属制品业,资源金属,VALUE,基本价值线,7.79,100.0,100.0,70.4,48.1,63.7,82.3,63.1,72.7,82.3,低估价值,深度低估,低估价值,"价值线=21.25, 现价/价值=0.37, 市值=436.8亿",-0.08995327102803741,-0.037082818294190356,436.8279245283018,21.248411843876177,0.36661563495838817,,,,,,7.79,13.02,0.6713735558408216,0.7072497010588725
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.3,31.8,75.9,82.2,59.6,70.9,82.2,低估价值,深度低估,低估价值,"价值线=13.01, 现价/价值=0.54, 市值=2031.1亿",0.017316017316017396,-0.038199181446111896,2031.0558139534883,13.01147562156926,0.5418293977597084,,,,,,7.05,6.07,-0.13900709219858154,-0.10128065138230813
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,55.5,52.3,78.9,81.7,60.1,70.9,81.7,低估价值,价值线内/历史低位,低估价值,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.06735751295336789,0.03602643359624813,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122449,,48.6,64.05,0.3179012345679011,0.37226773780422895
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.2,56.7,57.2,81.5,63.6,72.6,81.5,低估价值,深度低估,低估价值,"价值线=39.57, 现价/价值=0.45, 市值=560.0亿",-0.011686143572620877,0.08094948265368229,560.0331138287867,39.56968835859188,0.4488284021611133,,,,,,17.76,18.04,0.015765765765765716,0.060886321923493636
sh.600323,瀚蓝环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,23.28,94.2,94.2,78.3,54.0,50.5,81.1,66.4,73.7,81.1,低估价值,深度低估,低估价值,"价值线=39.43, 现价/价值=0.59, 市值=189.9亿",-0.035225859925403946,0.044883303411131115,189.89176470588234,39.431875000000005,0.5903853164476708,,,,,,23.28,30.97,0.3303264604810996,0.38763003020859355
sz.002353,杰瑞股份,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,31.38,91.7,91.7,87.4,25.0,64.0,81.0,62.3,71.6,81.0,低估价值,深度低估,低估价值,"价值线=51.61, 现价/价值=0.61, 市值=318.3亿",-0.14589003810560708,-0.19373072970195282,318.28285714285715,51.610185633802814,0.608019514261294,,,,,,31.38,148.95,3.7466539196940722,3.858531320409133
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75.0,38.6,78.3,91.0,82.3,78.3,83.1,80.7,80.7,低估且高质量,低估且高质量,低估且高质量,"价值线=20.08, 现价/价值=0.98, 市值=1665.4亿",0.016528925619834656,0.24478178368121428,1665.445865302643,20.083383394358627,0.9799145698492249,,,,,,19.68,21.39,0.08689024390243905,0.123970014686962
