code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,raw_return,qfq_return,earnings_yoy,theme_momentum_score,relative_ret20,relative_ret60,volume_ratio_20_120,portfolio_score,final_selected,final_rank,portfolio_profile
sz.002436,兴森科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.83,50.0,0.0,50.0,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=31.7%/47.3%, 相对60日=46.3%, 量能20/120=1.86, 市值=578.7亿",0.31688728439630953,0.47285778375953336,578.6533601066749,6.406737654486015,5.124292857069361,0.08,0.08,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,32.83,32.83,32.83,32.83,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.2887798538520485,0.46288661618264926,1.8647533048394538,125.498,True,21,theme
sh.600563,法拉电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,147.6,50.0,0.0,71.9,100.0,79.6,0.0,90.2,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.3%/38.2%, 相对60日=37.2%, 量能20/120=1.46, 市值=332.4亿",0.1932093775262731,0.3818930811721748,332.41702086287427,78.9720982264502,1.8690145420318107,5.01,5.01,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,90.2,主题右侧动量,147.6,147.6,147.6,147.6,2026-05-19,2026-05-19,0.0,0.0,,90.2,0.16510194698201208,0.3719219135952907,1.4552630102083257,125.445,True,22,theme
sh.688205,德科立,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,258.0,50.0,0.0,56.2,95.8,100.0,0.0,92.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=7.1%/51.8%, 相对60日=50.8%, 量能20/120=1.46, 市值=401.2亿",0.07138407873427188,0.5176470588235293,401.2146648,18.325060570196374,14.079080339827506,0.25,0.25,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,92.0,主题右侧动量,258.0,258.0,258.0,258.0,2026-05-19,2026-05-19,0.0,0.0,,92.0,0.04327664819001087,0.5076758912466453,1.4555118444121837,125.415,True,23,theme
sz.300747,锐科激光,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,40.46,50.0,0.0,58.7,100.0,82.4,0.0,88.7,0.0,"半导体/电子右侧动量, 20/60日涨幅=24.1%/31.5%, 相对60日=30.5%, 量能20/120=1.56, 市值=227.2亿",0.24110429447852755,0.31534460338101433,227.2476114533646,24.92005586545493,1.6235918658628328,0.1495,0.1495,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,88.7,主题右侧动量,40.46,40.46,40.46,40.46,2026-05-19,2026-05-19,0.0,0.0,,88.7,0.21299686393426653,0.30537343580413023,1.5571056898242648,125.241,True,24,theme
sh.603296,华勤技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,108.9,50.0,0.0,75.5,96.4,92.6,0.0,85.1,0.0,"半导体/电子右侧动量, 20/60日涨幅=11.6%/27.8%, 相对60日=26.8%, 量能20/120=1.74, 市值=1100.4亿",0.1161217587373169,0.2778690448251584,1100.42129693686,61.05058963606983,1.7837665557231548,3.21,3.21,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,85.1,主题右侧动量,108.9,108.9,108.9,108.9,2026-05-19,2026-05-19,0.0,0.0,,85.1,0.08801432819305588,0.2678978772482743,1.7350828187350975,125.214,True,25,theme
sz.301183,东田微,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,247.9,50.0,0.0,76.9,100.0,92.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=33.0%/52.9%, 相对60日=51.9%, 量能20/120=1.41, 市值=199.0亿",0.33007833458525604,0.5291142363681223,199.02500230985092,28.121919049519274,8.815187881149871,1.14,1.14,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,247.9,247.9,247.9,247.9,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.301970904040995,0.5191430687912382,1.4111857414349875,125.118,True,26,theme
sz.301536,星宸科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,93.88,50.0,0.0,77.5,100.0,76.9,0.0,89.2,0.0,"半导体/电子右侧动量, 20/60日涨幅=23.7%/38.9%, 相对60日=37.9%, 量能20/120=1.31, 市值=394.1亿",0.23721665788086455,0.3885519893506877,394.1036684508133,39.24657460107652,2.3920558916095804,0.6,0.6,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,89.2,主题右侧动量,93.88,93.88,93.88,93.88,2026-05-19,2026-05-19,0.0,0.0,,89.2,0.20910922733660353,0.3785808217738036,1.309808992067792,124.959,True,27,theme
sz.002859,洁美科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,56.78,50.0,0.0,66.3,100.0,73.1,0.0,93.3,0.0,"半导体/电子右侧动量, 20/60日涨幅=22.6%/42.1%, 相对60日=41.1%, 量能20/120=1.95, 市值=244.2亿",0.22555579538096282,0.4209209209209208,244.21362476884804,14.528397511192399,3.908208042645982,0.5,0.5,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,93.3,主题右侧动量,56.78,56.78,56.78,56.78,2026-05-19,2026-05-19,0.0,0.0,,93.3,0.1974483648367018,0.4109497533440367,1.9454974767404174,124.91,True,28,theme
sh.603118,共进股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,15.52,50.0,0.0,39.7,97.4,85.0,0.0,85.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=12.5%/29.1%, 相对60日=28.1%, 量能20/120=2.42, 市值=116.7亿",0.12463768115942031,0.29118136439267883,116.732053795,7.6057935949881355,2.040549721231846,0.08,0.08,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,85.8,主题右侧动量,15.52,15.52,15.52,15.52,2026-05-19,2026-05-19,0.0,0.0,,85.8,0.0965302506151593,0.28121019681579473,2.416365039821618,124.693,True,29,theme
sz.000021,深科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,37.67,50.0,0.0,57.5,100.0,100.0,0.0,89.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.9%/31.3%, 相对60日=30.3%, 量能20/120=1.22, 市值=589.9亿",0.3093500173792145,0.3130010456605088,589.9037926605728,15.590838515900824,2.4161625406857383,0.6181,0.6181,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,89.8,主题右侧动量,37.67,37.67,37.67,37.67,2026-05-19,2026-05-19,0.0,0.0,,89.8,0.2812425868349535,0.3030298780836247,1.218867093813274,124.679,True,30,theme
