code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sz.300308,中际旭创,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,86.65,81.4,81.4,100.0,25.0,100.0,89.7,73.0,79.0,"Q1价值线=127.33, 现价/价值=0.68, akshare东方财富扣非净利润同比=138.7%, 市值=950.6亿",-0.13141539695268645,-0.1180661577608142,950.5910751359926,127.32713269971404,0.6805305213646314,4.62,4.62,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.7,价值线左侧确认,1.38660345770301,86.65,1045.0,86.1131166,1045.0,11.060011540680899,11.135201247611098
sh.601628,中国人寿,J68保险业,金融,PE,PE低估,36.8,100.0,100.0,100.0,29.0,66.2,89.5,70.1,79.8,"PE=9.04, 低估均值=15.96, 比值=0.57, 分位=0%",-0.016042780748663166,-0.06835443037974687,,,,,,,,9.037397,15.96024727272727,0.5662441718834159,0.0008163265306122449,低估价值,价值线内/历史低位,89.5,低估价值,,36.8,34.75,36.183416,34.75,-0.05570652173913038,-0.039615275683202555
sz.300115,长盈精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,22.07,100.0,100.0,72.8,54.6,89.6,89.4,70.3,78.3,"Q1价值线=122.76, 现价/价值=0.18, akshare东方财富扣非净利润同比=2750.7%, 市值=285.9亿",-0.1175529788084767,0.09257425742574266,285.9112831277951,122.75809036260216,0.1797844845485113,0.41,0.41,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.4,价值线左侧确认,27.507025698655898,22.07,38.75,21.9314004,38.75,0.7557770729497055,0.7668730356133573
sh.601899,紫金矿业,B09有色金属矿采选业,资源金属,PB,PB低估,17.76,6.0,6.0,100.0,82.6,100.0,46.5,89.2,67.9,"PB=3.27, 低估均值=2.55, 比值=1.28, 分位=63%",0.014857142857142902,0.0783242258652097,,,,,,,,3.270505,2.552932818181818,1.2810775813243813,0.6342857142857142,高质量趋势,估值有约束的高质量,89.2,高质量趋势,,17.76,31.3,17.370612,31.3,0.7623873873873872,0.8018939113947166
sz.002532,天山铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,7.58,100.0,100.0,78.2,45.0,67.7,89.2,74.2,79.4,"Q1价值线=27.05, 现价/价值=0.28, akshare东方财富扣非净利润同比=128.8%, 市值=351.2亿",-0.14253393665158365,-0.155902004454343,351.175644020228,27.04662949944897,0.28025673218004593,0.93,0.93,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.2,价值线左侧确认,1.2880405381620401,7.58,14.82,7.13881368,14.82,0.9551451187335092,1.0759751779934392
sh.688608,恒玄科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,437.59,14.1,14.1,100.0,90.8,76.1,53.8,88.9,71.3,"价值线=380.15, 现价/价值=1.15, 扣非EPS=2.36, akshare东方财富扣非净利润同比=1279.1%, 市值=730.6亿",0.1348288381742737,0.15003942181340335,730.5525425481248,380.1549442006249,1.151083279793052,2.3636,2.3636,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,88.9,高质量趋势,,437.59,193.98,311.70585916,193.98,-0.5567083342855184,-0.3776825353147141
sz.301219,腾远钴业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,45.53,87.8,87.8,100.0,50.1,56.0,88.9,54.6,48.4,"Q1价值线=71.67, 现价/价值=0.64, akshare东方财富扣非净利润同比=83.4%, 市值=134.0亿",-0.14497652582159626,0.002421840598855196,134.00969867668726,71.67275025735505,0.6352484010522217,2.28,2.28,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.9,价值线左侧确认,0.83390865101395,45.53,84.27,44.37667957,84.27,0.8508675598506479,0.8989703785086505
sz.000528,柳工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,10.21,100.0,100.0,77.1,2.9,66.5,88.6,50.7,65.4,"Q1价值线=20.37, 现价/价值=0.50, akshare东方财富扣非净利润同比=100.1%, 市值=198.5亿",-0.11982758620689649,-0.04131455399061024,198.54817386002057,20.36705749340596,0.5012997092636279,0.5851,0.5851,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.6,价值线左侧确认,1.0009928838043,10.21,9.28,9.93041957,9.28,-0.0910871694417239,-0.06549769276264328
sh.601919,中远海控,G55水上运输业,G55水上运输业,PB,PB低估,14.56,93.6,93.6,100.0,34.7,83.1,88.2,74.3,81.3,"PB=0.93, 低估均值=1.95, 比值=0.48, 分位=15%",-0.0020562028786840214,0.03335699077359844,,,,,,,,0.932384,1.9497817499999999,0.4781991625472954,0.1510204081632653,低估价值,价值线内/历史低位,88.2,低估价值,,14.56,14.0,13.12639328,14.0,-0.03846153846153855,0.06655344704101385
sz.000550,江铃汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,19.26,98.8,98.8,84.5,0.0,43.2,88.2,49.4,64.2,"Q1价值线=34.48, 现价/价值=0.56, akshare东方财富扣非净利润同比=36.3%, 市值=166.4亿",-0.15931907463989514,-0.14589800443458978,166.38788647834397,34.47829717957011,0.5586122742573374,1.57,1.57,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.2,价值线左侧确认,0.36282042080402,19.26,18.09,18.62515188,18.09,-0.06074766355140193,-0.028732752540646667
