bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,ret_count,mean_return,median_return,win_rate,min_return,max_return,names,codes
all,value,,,,,0.2,1.5,,,,,train,20,18,0.6873254140875678,0.31236054280104086,0.6666666666666666,-0.3933674226045848,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、新强联,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300850"
all,value,,,,,0.2,1.5,,,,,validate,20,20,0.3011752543445554,0.2480221063695952,0.8,-0.1845973237401208,1.0250673854447436,欧科亿、香农芯创、华锐精密、佰维存储、新锐股份、新宙邦、长川科技、达瑞电子,"sh.688308,sz.300475,sh.688059,sh.688525,sh.688257,sz.300037,sz.300604,sz.300976"
all,value,,,,,0.2,1.5,,,,60.0,train,20,17,0.7864668128879557,0.4119371018372113,0.7647058823529411,-0.220486111111111,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、英科医疗,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300677"
all,value,,,,,0.2,1.5,,,,60.0,validate,20,20,0.30700173273948805,0.2480221063695952,0.8,-0.1845973237401208,1.0250673854447436,欧科亿、香农芯创、华锐精密、佰维存储、新锐股份、新宙邦、长川科技、聚和材料,"sh.688308,sz.300475,sh.688059,sh.688525,sh.688257,sz.300037,sz.300604,sh.688503"
all,value,,,,,0.2,1.5,,,70.0,,train,20,17,0.7282991540210808,0.2307336015602865,0.7058823529411765,-0.3933674226045848,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、新强联,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300850"
all,value,,,,,0.2,1.5,,,70.0,,validate,20,20,0.3011752543445554,0.2480221063695952,0.8,-0.1845973237401208,1.0250673854447436,欧科亿、香农芯创、华锐精密、佰维存储、新锐股份、新宙邦、长川科技、达瑞电子,"sh.688308,sz.300475,sh.688059,sh.688525,sh.688257,sz.300037,sz.300604,sz.300976"
all,value,,,,,0.2,1.5,,,70.0,60.0,train,20,17,0.7614576751622081,0.3939874840417952,0.7058823529411765,-0.1820199778024418,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、中科电气,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300035"
all,value,,,,,0.2,1.5,,,70.0,60.0,validate,20,20,0.30700173273948805,0.2480221063695952,0.8,-0.1845973237401208,1.0250673854447436,欧科亿、香农芯创、华锐精密、佰维存储、新锐股份、新宙邦、长川科技、聚和材料,"sh.688308,sz.300475,sh.688059,sh.688525,sh.688257,sz.300037,sz.300604,sh.688503"
all,value,,,,,0.2,1.5,0.8,,,,train,20,18,0.6873254140875678,0.31236054280104086,0.6666666666666666,-0.3933674226045848,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、新强联,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300850"
all,value,,,,,0.2,1.5,0.8,,,,validate,20,20,0.22387486768105253,0.149018678770033,0.9,-0.107910906298003,1.0250673854447436,佰维存储、锐科激光、南亚新材、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路,"sh.688525,sz.300747,sh.688519,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739"
