code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,raw_return,qfq_return,earnings_yoy,theme_momentum_score,relative_ret20,relative_ret60,volume_ratio_20_120
sz.000988,华工科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,158.4,50.0,0.0,75.0,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=41.0%/107.2%, 相对60日=106.3%, 量能20/120=1.57, 市值=1580.6亿",0.41025641025641035,1.07248462645558,1580.6210896279665,25.964367922048616,6.100668442057036,1.19,1.19,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,158.4,158.4,158.4,158.4,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.38214897971214934,1.062513458878696,1.566485947900328
sz.001389,广合科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,176.32,50.0,0.0,100.0,100.0,90.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.0%/73.5%, 相对60日=72.5%, 量能20/120=1.79, 市值=744.5亿",0.2998157021747143,0.7345794392523364,744.4981799585366,54.541789367462165,3.232750557780319,2.34,2.34,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,176.32,176.32,176.32,176.32,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.2717082716304533,0.7246082716754523,1.789553711109392
sz.002222,福晶科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,105.45,50.0,0.0,62.4,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=23.2%/52.3%, 相对60日=51.3%, 量能20/120=1.96, 市值=495.9亿",0.23218041598504335,0.5227436823104694,495.9127309453999,10.911309200695758,9.664284831491715,0.5576,0.5576,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,105.45,105.45,105.45,105.45,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.20407298544078234,0.5127725147335853,1.96482166768895
sz.002273,水晶光电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,38.54,50.0,0.0,58.0,100.0,98.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.9%/43.0%, 相对60日=42.0%, 量能20/120=1.88, 市值=529.4亿",0.30865874363327683,0.43005565862708717,529.430248252092,15.672775842492118,2.4590411033321957,0.76,0.76,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,38.54,38.54,38.54,38.54,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.2805513130890158,0.42008449105020307,1.8843527695336113
sz.002436,兴森科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.83,50.0,0.0,50.0,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=31.7%/47.3%, 相对60日=46.3%, 量能20/120=1.86, 市值=578.7亿",0.31688728439630953,0.47285778375953336,578.6533601066749,6.406737654486015,5.124292857069361,0.08,0.08,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,32.83,32.83,32.83,32.83,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.2887798538520485,0.46288661618264926,1.8647533048394538
sz.002475,立讯精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,72.4,50.0,0.0,79.7,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.8%/40.1%, 相对60日=39.1%, 量能20/120=1.85, 市值=5260.6亿",0.1976840363937138,0.40065776745985704,5260.641908174667,34.59244430941571,2.0929425903648404,1.95,1.95,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,72.4,72.4,72.4,72.4,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.16957660584945278,0.39068659988297294,1.846818218451713
sz.002947,恒铭达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,89.54,50.0,0.0,91.1,100.0,83.1,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=24.3%/83.3%, 相对60日=82.3%, 量能20/120=2.12, 市值=229.4亿",0.24257563141826255,0.8329580348004095,229.36897050829705,39.855142199269125,2.24663606899995,2.02,2.02,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,89.54,89.54,89.54,89.54,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.21446820087400154,0.8229868672235254,2.119411019155504
sz.300620,光库科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,269.93,50.0,0.0,76.5,99.5,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=16.8%/49.2%, 相对60日=48.2%, 量能20/120=1.31, 市值=672.7亿",0.16822470354020602,0.49173804918485775,672.6570070257053,45.97206147466151,5.871609654676411,0.5616,0.5616,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,269.93,269.93,269.93,269.93,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.140117272995945,0.48176688160797365,1.3071307543080988
sz.300661,圣邦股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,112.6,50.0,0.0,72.3,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=44.9%/62.5%, 相对60日=61.5%, 量能20/120=1.97, 市值=695.1亿",0.4489769656414877,0.6250541203636886,695.1457238046202,29.23564649747999,3.8514626317466836,0.6926,0.6926,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,112.6,112.6,112.6,112.6,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.4208695350972267,0.6150829527868045,1.9708278094239666
sz.300666,江丰电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,213.93,50.0,0.0,89.0,100.0,96.8,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=38.9%/61.8%, 相对60日=60.8%, 量能20/120=1.53, 市值=566.9亿",0.3887049659201558,0.6182299546142211,566.9063962529492,38.176570557458746,5.603698731346717,1.36,1.36,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,213.93,213.93,213.93,213.93,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.3605975353758948,0.608258787037337,1.5315697428786332
