code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,theme_momentum_score,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,earnings_yoy
sz.300409,道氏技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,22.62,50.0,0.0,52.7,100.0,88.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=29.7%/60.5%, 相对60日=46.5%, 量能20/120=1.86, 市值=131.3亿",0.2970183486238531,0.6053938963804117,131.25752336733302,14.605967363821083,1.5486820856542265,0.2081,0.2081,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,22.62,25.07,22.62,25.07,0.10831122900088408,0.10831122900088408,
sz.300433,蓝思科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.34,50.0,0.0,74.2,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=44.4%/46.7%, 相对60日=32.7%, 量能20/120=1.90, 市值=1609.9亿",0.4443948191156768,0.4673321234119785,1609.9136964154998,18.95122544521788,1.7064859522401294,0.66,0.66,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,32.34,38.7,32.23175802,38.7,0.19666048237476796,0.20067915550825433,
sz.300476,胜宏科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,270.37,50.0,0.0,88.2,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=43.4%/168.2%, 相对60日=154.2%, 量能20/120=1.85, 市值=2320.3亿",0.43409536943722493,1.6822420634920636,2320.289579085414,74.63627075648351,3.6225014628897902,1.33,1.33,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,270.37,346.2,268.63449497,346.2,0.28046750748973626,0.28873992909459445,
sz.300570,太辰光,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,142.15,50.0,0.0,82.5,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=23.8%/55.4%, 相对60日=41.4%, 量能20/120=1.85, 市值=322.5亿",0.23791692066533132,0.5538915609969393,322.5085894243091,32.71021769948324,4.3457368980532864,1.1,1.1,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,142.15,160.33,142.15,160.33,0.1278930706999648,0.1278930706999648,
sz.300602,飞荣达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.1,50.0,0.0,69.2,100.0,89.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.2%/68.5%, 相对60日=54.5%, 量能20/120=3.14, 市值=233.8亿",0.3017031630170317,0.6850393700787403,233.82201500333332,11.939533640546113,2.6885472218939825,0.27,0.27,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,32.1,38.79,32.1,38.79,0.20841121495327086,0.20841121495327086,
sz.300684,中石科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,35.77,50.0,0.0,69.6,100.0,83.9,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.6%/56.1%, 相对60日=42.1%, 量能20/120=2.73, 市值=106.5亿",0.19552139037433158,0.5613269314709735,106.54206583813493,21.069317623159584,1.6977294015768833,0.5855,0.5855,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,35.77,59.39,35.77,59.39,0.6603298853788089,0.6603298853788089,
sz.300709,精研科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,57.71,50.0,0.0,58.1,100.0,77.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.2%/52.1%, 相对60日=38.1%, 量能20/120=2.07, 市值=107.9亿",0.3018272050530115,0.5210859251449658,107.91976691571112,19.78245839431542,2.917230955308529,0.54,0.54,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,57.71,48.8,57.71,48.8,-0.15439265291977133,-0.15439265291977133,
sz.300790,宇瞳光学,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,33.49,50.0,0.0,59.6,100.0,76.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=39.6%/61.7%, 相对60日=47.7%, 量能20/120=2.04, 市值=109.0亿",0.3959983326385996,0.6170931916948335,108.96862264969593,13.401711353430708,2.4989345850540863,0.49,0.49,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,33.49,33.96,33.43628204,33.96,0.01403404001194386,0.01566316372656118,
sz.300811,铂科新材,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,78.62,50.0,0.0,68.8,100.0,80.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=38.3%/80.1%, 相对60日=66.1%, 量能20/120=2.78, 市值=220.2亿",0.3831808585503167,0.8007329363261568,220.15140613513893,23.273629383213077,3.3780721822745634,1.31,1.31,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,78.62,102.37,78.62,102.37,0.30208598321037905,0.30208598321037905,
sz.301205,联特科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,118.0,50.0,0.0,33.6,100.0,79.4,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=22.9%/54.3%, 相对60日=40.4%, 量能20/120=1.67, 市值=153.1亿",0.2286547271970012,0.5434924787442772,153.0931114241088,15.905267219121374,7.418925968005111,0.5442,0.5442,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,118.0,286.88,118.0,286.88,1.431186440677966,1.431186440677966,
