date,equity,cash,cash_pct,gross_exposure_pct,capacity_position_count,total_held_symbol_count,left_side_symbol_count,right_market_left_side_symbol_count,profit_tail_count,candidate_count
2025-01-23,1.057439223889831,141038.22388983087,13.3377,82.36,3,3,1,0,0,56
2025-01-24,1.068458223889831,141038.22388983087,13.2002,82.36,3,3,1,0,0,51
2025-01-27,1.102204223889831,141038.22388983087,12.796,82.36,3,3,1,1,0,58
2025-02-05,1.0951626623698822,129565.66236988225,11.8307,83.51,3,3,1,1,0,54
2025-02-06,1.0622427856648822,332917.7856648822,31.341,63.84,3,3,1,1,0,49
2025-02-07,1.0690693421548825,68757.34215488224,6.4315,90.24,3,3,1,1,0,56
2025-02-10,1.0620237741148821,213823.77411488222,20.1336,75.55,3,3,1,1,0,64
2025-02-11,1.0576583219298823,162109.32192988222,15.3272,81.01,3,3,1,1,0,60
2025-02-12,1.0733493219298822,162109.32192988222,15.1031,81.01,3,3,1,1,0,63
2025-02-13,1.0313463359148822,335180.33591488225,32.4993,63.55,3,3,1,1,0,67
2025-02-14,1.0466103359148822,335180.33591488225,32.0253,63.55,3,3,1,1,0,57
2025-02-17,1.039330152470931,324281.15247093106,31.201,64.64,3,3,1,1,0,59
2025-02-18,1.0090550410559311,566517.0410559311,56.1433,41.31,3,3,1,1,0,67
2025-02-19,1.0049869371759312,601624.9371759312,59.864,37.8,2,2,1,1,0,65
2025-02-20,1.0080289371759312,601624.9371759312,59.6833,37.8,2,2,1,1,0,67
2025-02-21,1.0108985025759312,306692.5025759312,30.3386,67.28,3,3,1,1,0,68
2025-02-24,1.0277945025759312,306692.5025759312,29.8399,67.28,3,3,1,1,0,71
2025-02-25,1.0224365025759312,306692.5025759312,29.9962,67.28,3,3,1,1,0,70
2025-02-26,1.039693891112122,330185.891112122,31.758,65.04,3,3,1,1,0,68
2025-02-27,1.056347891112122,330185.891112122,31.2573,65.04,3,3,1,1,0,68
2025-02-28,1.039209891112122,330185.891112122,31.7728,65.04,3,3,1,1,0,65
2025-03-03,1.0401533295921734,318713.3295921734,30.641,66.19,3,3,1,1,0,52
2025-03-04,1.0438493295921734,318713.3295921734,30.5325,66.19,3,3,1,1,0,50
2025-03-05,1.0406013295921734,318713.3295921734,30.6278,66.19,3,3,1,1,0,51
2025-03-06,1.0593502510421733,406248.25104217336,38.3488,57.7,3,3,1,1,0,56
2025-03-07,1.0609170675982222,395349.0675982222,37.2648,58.79,3,3,1,1,0,61
2025-03-10,1.054251669998222,252705.66999822218,23.9701,73.04,3,3,1,1,0,65
2025-03-11,1.0476732320822637,403913.23208226386,38.5534,57.7,3,3,1,1,0,62
2025-03-12,1.0510290731222638,464823.0731222639,44.2255,51.8,3,3,1,1,0,57
2025-03-13,1.0426230731222639,464823.0731222639,44.5821,51.8,3,3,1,1,0,57
2025-03-14,1.0398600251222638,522808.0251222639,50.2768,45.91,3,3,1,1,0,52
2025-03-17,1.0229357846222638,433455.78462226386,42.3737,54.84,3,3,1,1,0,57
2025-03-18,1.0198558169422638,698575.8169422639,68.4975,28.22,2,2,1,1,0,54
2025-03-19,1.0216820151922639,609974.0151922639,59.7029,37.08,2,2,1,1,0,57
2025-03-20,1.018434015192264,609974.0151922639,59.8933,37.08,2,2,1,1,0,52
2025-03-21,1.0203466906922638,310098.6906922639,30.3915,67.05,3,3,1,1,0,52
2025-03-24,1.031518690692264,310098.6906922639,30.0623,67.05,3,3,1,1,0,40
2025-03-25,1.0013456941222638,690327.6941222639,68.94,28.22,2,2,1,1,0,40
2025-03-26,1.002197694122264,690327.6941222639,68.8814,28.22,2,2,1,1,0,41
2025-03-27,1.0048456941222639,690327.6941222639,68.6999,28.22,2,2,1,1,0,38
2025-03-28,1.003325694122264,690327.6941222639,68.8039,28.22,2,2,1,1,0,41
2025-03-31,1.0048201922033129,480477.19220331276,47.8172,49.2,3,3,1,0,0,39
