序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
13,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股1400股",建仓成本14.40元,26.86,700,18802.0,14.4,L2；价值线网格第2份；开盘已触发成交,-14.4,,1400,持有1400股,-18816.4,,,,,
14,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股2100股",建仓成本14.40元,26.86,700,18802.0,14.4,L3；价值线网格第3份；开盘已触发成交,-14.4,,2100,持有2100股,-18816.4,,,,,
15,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股2800股",建仓成本14.40元,26.86,700,18802.0,14.4,L4；价值线网格第4份；开盘已触发成交,-14.4,,2800,持有2800股,-18816.4,,,,,
16,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股3500股",建仓成本14.40元,26.86,700,18802.0,14.4,L5；价值线网格第5份；开盘已触发成交,-14.4,,3500,持有3500股,-18816.4,,,,,
17,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股4200股",建仓成本14.40元,26.86,700,18802.0,14.4,L6；价值线网格第6份；开盘已触发成交,-14.4,,4200,持有4200股,-18816.4,,,,,
18,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股4900股",建仓成本14.40元,26.86,700,18802.0,14.4,L7；价值线网格第7份；开盘已触发成交,-14.4,,4900,持有4900股,-18816.4,,,,,
19,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股5600股",建仓成本14.40元,26.86,700,18802.0,14.4,L8；价值线网格第8份；开盘已触发成交,-14.4,,5600,持有5600股,-18816.4,,,,,
20,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.174，成交金额18,321.46元，现金-18,335.62元，交易后持股6300股",建仓成本14.16元,26.174,700,18321.46,14.16,L9；价值线网格第9份；盘中触及结构位成交,-14.16,,6300,持有6300股,-18335.62,,,,,
21,2024-09-26,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 200股，成交价128.88，成交金额25,776.00元，现金-25,793.89元，交易后持股700股",建仓成本17.89元,128.88,200,25776.0,17.89,左转右加仓(不超过左仓一半)；33未三日下行首仓；回调波段50%收盘放量向上突破；close_confirmed,-17.89,,700,持有700股,-25793.89,基本价值线模型入选；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.21倍；多周期均量扣低走高,收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.21倍；多周期均量扣低走高,0.5,66.33 / 158.69,2023-12-01 → 2024-07-11
22,2024-09-27,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价70.185，成交金额14,036.94元，现金+14,017.90元，本次盈利+1,220.51元，收益率+9.54%，剩余1000股","盈利1,220.51元 (+9.54%)",70.185,200,14036.94,19.04,L4；上一格卖出；盘中触及结构位成交,1220.51,9.5372,1000,持有1000股,14017.9,,,,,
23,2024-09-27,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价66.843，成交金额13,368.52元，现金+13,350.15元，本次盈利+638.71元，收益率+5.02%，剩余800股",盈利638.71元 (+5.02%),66.843,200,13368.52,18.37,L6；上一格卖出；盘中触及结构位成交,638.71,5.0247,800,持有800股,13350.15,,,,,
24,2024-09-27,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价27.551，成交金额19,285.75元，现金+19,261.46元，本次盈利+925.84元，收益率+5.05%，剩余5600股",盈利925.84元 (+5.05%),27.551,700,19285.75,24.29,L9；上一格卖出；盘中触及结构位成交,925.84,5.0494,5600,持有5600股,19261.46,,,,,
25,2024-09-27,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价130.255，成交金额13,025.48元，现金+13,007.45元，本次盈利+591.03元，收益率+4.76%，剩余600股",盈利591.03元 (+4.76%),130.255,100,13025.48,18.03,L4；上一格卖出；盘中触及结构位成交,591.03,4.7601,600,持有600股,13007.45,,,,,
26,2024-09-27,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价136.457，成交金额13,645.74元，现金+13,627.09元，本次盈利+1,210.67元，收益率+9.75%，剩余500股","盈利1,210.67元 (+9.75%)",136.457,100,13645.74,18.65,L5；上一格卖出；盘中触及结构位成交,1210.67,9.7506,500,持有500股,13627.09,,,,,
27,2024-09-30,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价73.63，成交金额14,726.00元，现金+14,706.27元，本次盈利+1,908.88元，收益率+14.92%，剩余600股","盈利1,908.88元 (+14.92%)",73.63,200,14726.0,19.73,L1；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1908.88,14.9162,600,持有600股,14706.27,,,,,
28,2024-09-30,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价73.63，成交金额14,726.00元，现金+14,706.27元，本次盈利+1,908.88元，收益率+14.92%，剩余400股","盈利1,908.88元 (+14.92%)",73.63,200,14726.0,19.73,L2；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1908.88,14.9162,400,持有400股,14706.27,,,,,
29,2024-09-30,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价73.63，成交金额14,726.00元，现金+14,706.27元，本次盈利+1,908.88元，收益率+14.92%，剩余200股","盈利1,908.88元 (+14.92%)",73.63,200,14726.0,19.73,L3；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1908.88,14.9162,200,持有200股,14706.27,,,,,
30,2024-09-30,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价73.63，成交金额14,726.00元，现金+14,706.27元，本次盈利+1,908.88元，收益率+14.92%，清仓","盈利1,908.88元 (+14.92%)",73.63,200,14726.0,19.73,L5；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1908.88,14.9162,0,清仓,14706.27,,,,,
31,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，剩余4900股","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L1；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,4900,持有4900股,20337.64,,,,,
32,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，剩余4200股","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L2；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,4200,持有4200股,20337.64,,,,,
33,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，剩余3500股","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L3；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,3500,持有3500股,20337.64,,,,,
34,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，剩余2800股","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L4；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,2800,持有2800股,20337.64,,,,,
35,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，剩余2100股","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L5；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,2100,持有2100股,20337.64,,,,,
36,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，剩余1400股","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L6；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,1400,持有1400股,20337.64,,,,,
37,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，剩余700股","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L7；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,700,持有700股,20337.64,,,,,
38,2024-09-30,巨星科技,sz.002444,卖出,"卖出巨星科技(sz.002444) 700股，成交价29.09，成交金额20,363.00元，现金+20,337.64元，本次盈利+1,521.24元，收益率+8.08%，清仓","盈利1,521.24元 (+8.08%)",29.09,700,20363.0,25.36,L8；右侧行情左侧标的限额；保留=sz.300308；次日开盘退出,1521.24,8.0846,0,清仓,20337.64,,,,,
39,2024-10-08,中国人寿,sh.601628,买入,"买入中国人寿(sh.601628) 6400股，成交价46.6，成交金额298,240.00元，现金-298,414.47元，交易后持股6400股",建仓成本174.47元,46.6,6400,298240.0,174.47,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-174.47,,6400,持有6400股,-298414.47,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.78倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+35.4%；60日强度+45.3%；120日强度+54.5%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.78倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.78倍；多周期均量扣低走高,,,
40,2024-10-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价165.37，成交金额16,537.00元，现金+16,515.46元，本次盈利+3,618.52元，收益率+28.06%，剩余400股","盈利3,618.52元 (+28.06%)",165.37,100,16537.0,21.54,止盈条件=trailing_10；14:55收盘代理价成交,3618.52,28.0572,400,持有400股,16515.46,,,,,
41,2024-10-10,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 6400股，成交价41.67，成交金额266,688.00元，现金+266,398.64元，本次亏损-32,015.83元，收益率-10.73%，清仓","亏损-32,015.83元 (-10.73%)",41.67,6400,266688.0,289.36,hard space stop 41.940；跳空止损成交,-32015.83,-10.7286,0,清仓,266398.64,,,,,
42,2024-10-16,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价147.78，成交金额14,778.00元，现金+14,758.22元，本次盈利+1,861.28元，收益率+14.43%，剩余300股","盈利1,861.28元 (+14.43%)",147.78,100,14778.0,19.78,止盈条件=maximum_profit_half；14:55收盘代理价成交,1861.28,14.4319,300,持有300股,14758.22,,,,,
43,2024-10-18,特宝生物,sh.688278,买入,"买入特宝生物(sh.688278) 3600股，成交价81.59，成交金额293,724.00元，现金-293,895.83元，交易后持股3600股",建仓成本171.83元,81.59,3600,293724.0,171.83,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-171.83,,3600,持有3600股,-293895.83,基本面硬条件通过且多周期强度居前；20日强度+36.4%；60日强度+35.4%；120日强度+16.4%；距120日高点-8.4%；MA20/MA60同步上扬；收盘站上MA20,MA20/MA60同步上扬；收盘站上MA20,,,
44,2024-10-21,特宝生物,sh.688278,卖出,"卖出特宝生物(sh.688278) 3600股，成交价78.37，成交金额282,132.00元，现金+281,825.89元，本次亏损-12,069.94元，收益率-4.11%，清仓","亏损-12,069.94元 (-4.11%)",78.37,3600,282132.0,306.11,收盘条件止损；14:55收盘代理价成交,-12069.94,-4.1069,0,清仓,281825.89,,,,,
45,2024-10-22,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 4800股，成交价62.28，成交金额298,944.00元，现金-299,118.88元，交易后持股4800股",建仓成本174.88元,62.28,4800,298944.0,174.88,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-174.88,,4800,持有4800股,-299118.88,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.67倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+54.9%；60日强度+18.7%；120日强度-0.9%；距120日高点-5.4%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.67倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.67倍；多周期均量扣低走高,,,
46,2024-10-23,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 4800股，成交价57.58，成交金额276,384.00元，现金+276,084.12元，本次亏损-23,034.76元，收益率-7.70%，清仓","亏损-23,034.76元 (-7.70%)",57.58,4800,276384.0,299.88,开盘未站上60.600；跳空止损成交,-23034.76,-7.7009,0,清仓,276084.12,,,,,
47,2024-10-24,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 4500股，成交价65.42，成交金额294,390.00元，现金-294,562.22元，交易后持股4500股",建仓成本172.22元,65.42,4500,294390.0,172.22,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-172.22,,4500,持有4500股,-294562.22,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.38倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+57.0%；60日强度+28.2%；120日强度+5.7%；距120日高点-4.2%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.38倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.38倍；多周期均量扣低走高,,,
48,2024-11-11,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 900股，成交价65.63，成交金额59,067.00元，现金+59,002.91元，本次盈利+90.47元，收益率+0.15%，剩余3600股",盈利90.47元 (+0.15%),65.63,900,59067.0,64.09,止盈条件=profit_floor；14:55收盘代理价成交,90.47,0.1536,3600,持有3600股,59002.91,,,,,
49,2024-11-15,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 3600股，成交价58.878，成交金额211,960.80元，现金+211,730.82元，本次亏损-23,918.95元，收益率-10.15%，清仓","亏损-23,918.95元 (-10.15%)",58.878,3600,211960.8,229.98,hard space stop 58.878；盘中硬止损成交,-23918.95,-10.1502,0,清仓,211730.82,,,,,
50,2024-11-25,电连技术,sz.300679,买入,"买入电连技术(sz.300679) 5600股，成交价52.74，成交金额295,344.00元，现金-295,516.78元，交易后持股5600股",建仓成本172.78元,52.74,5600,295344.0,172.78,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-172.78,,5600,持有5600股,-295516.78,基本面硬条件通过且多周期强度居前；20日强度+14.1%；60日强度+65.7%；120日强度+30.8%；距120日高点-0.3%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.75倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.75倍；多周期均量扣低走高,,,
51,2024-11-28,明阳电气,sz.301291,买入,"买入明阳电气(sz.301291) 500股，成交价38.16，成交金额19,080.00元，现金-19,094.54元，交易后持股500股",建仓成本14.54元,38.16,500,19080.0,14.54,L1；价值线网格第1份；开盘已触发成交,-14.54,,500,持有500股,-19094.54,,,,,
52,2024-11-28,明阳电气,sz.301291,买入,"买入明阳电气(sz.301291) 500股，成交价38.16，成交金额19,080.00元，现金-19,094.54元，交易后持股1000股",建仓成本14.54元,38.16,500,19080.0,14.54,L2；价值线网格第2份；开盘已触发成交,-14.54,,1000,持有1000股,-19094.54,,,,,
53,2024-11-28,明阳电气,sz.301291,买入,"买入明阳电气(sz.301291) 500股，成交价38.16，成交金额19,080.00元，现金-19,094.54元，交易后持股1500股",建仓成本14.54元,38.16,500,19080.0,14.54,L3；价值线网格第3份；开盘已触发成交,-14.54,,1500,持有1500股,-19094.54,,,,,
54,2024-11-28,明阳电气,sz.301291,买入,"买入明阳电气(sz.301291) 500股，成交价38.16，成交金额19,080.00元，现金-19,094.54元，交易后持股2000股",建仓成本14.54元,38.16,500,19080.0,14.54,L4；价值线网格第4份；开盘已触发成交,-14.54,,2000,持有2000股,-19094.54,,,,,
55,2024-11-28,明阳电气,sz.301291,买入,"买入明阳电气(sz.301291) 500股，成交价38.16，成交金额19,080.00元，现金-19,094.54元，交易后持股2500股",建仓成本14.54元,38.16,500,19080.0,14.54,L5；价值线网格第5份；开盘已触发成交,-14.54,,2500,持有2500股,-19094.54,,,,,
56,2024-11-28,明阳电气,sz.301291,买入,"买入明阳电气(sz.301291) 500股，成交价37.093，成交金额18,546.58元，现金-18,560.85元，交易后持股3000股",建仓成本14.27元,37.093,500,18546.58,14.27,L6；价值线网格第6份；盘中触及结构位成交,-14.27,,3000,持有3000股,-18560.85,,,,,
57,2024-11-28,浙江鼎力,sh.603338,买入,"买入浙江鼎力(sh.603338) 300股，成交价56.1，成交金额16,830.00元，现金-16,843.42元，交易后持股300股",建仓成本13.42元,56.1,300,16830.0,13.42,L1；价值线网格第1份；开盘已触发成交,-13.42,,300,持有300股,-16843.42,,,,,
58,2024-11-28,浙江鼎力,sh.603338,买入,"买入浙江鼎力(sh.603338) 300股，成交价56.1，成交金额16,830.00元，现金-16,843.42元，交易后持股600股",建仓成本13.42元,56.1,300,16830.0,13.42,L2；价值线网格第2份；开盘已触发成交,-13.42,,600,持有600股,-16843.42,,,,,
59,2024-11-28,浙江鼎力,sh.603338,买入,"买入浙江鼎力(sh.603338) 300股，成交价56.1，成交金额16,830.00元，现金-16,843.42元，交易后持股900股",建仓成本13.42元,56.1,300,16830.0,13.42,L3；价值线网格第3份；开盘已触发成交,-13.42,,900,持有900股,-16843.42,,,,,
60,2024-11-28,浙江鼎力,sh.603338,买入,"买入浙江鼎力(sh.603338) 300股，成交价56.1，成交金额16,830.00元，现金-16,843.42元，交易后持股1200股",建仓成本13.42元,56.1,300,16830.0,13.42,L4；价值线网格第4份；开盘已触发成交,-13.42,,1200,持有1200股,-16843.42,,,,,
61,2024-11-28,浙江鼎力,sh.603338,买入,"买入浙江鼎力(sh.603338) 300股，成交价56.1，成交金额16,830.00元，现金-16,843.42元，交易后持股1500股",建仓成本13.42元,56.1,300,16830.0,13.42,L5；价值线网格第5份；开盘已触发成交,-13.42,,1500,持有1500股,-16843.42,,,,,
62,2024-11-28,浙江鼎力,sh.603338,买入,"买入浙江鼎力(sh.603338) 300股，成交价56.1，成交金额16,830.00元，现金-16,843.42元，交易后持股1800股",建仓成本13.42元,56.1,300,16830.0,13.42,L6；价值线网格第6份；开盘已触发成交,-13.42,,1800,持有1800股,-16843.42,,,,,
63,2024-12-02,明阳电气,sz.301291,卖出,"卖出明阳电气(sz.301291) 500股，成交价40.998，成交金额20,498.85元，现金+20,473.35元，本次盈利+1,378.81元，收益率+7.22%，剩余2500股","盈利1,378.81元 (+7.22%)",40.998,500,20498.85,25.5,L4；上一格卖出；盘中触及结构位成交,1378.81,7.221,2500,持有2500股,20473.35,,,,,
64,2024-12-02,明阳电气,sz.301291,卖出,"卖出明阳电气(sz.301291) 500股，成交价39.045，成交金额19,522.72元，现金+19,498.19元，本次盈利+937.34元，收益率+5.05%，剩余2000股",盈利937.34元 (+5.05%),39.045,500,19522.72,24.52,L6；上一格卖出；盘中触及结构位成交,937.34,5.0501,2000,持有2000股,19498.19,,,,,
65,2024-12-02,电连技术,sz.300679,卖出,"卖出电连技术(sz.300679) 1100股，成交价54.62，成交金额60,082.00元，现金+60,016.81元，本次盈利+1,968.87元，收益率+3.39%，剩余4500股","盈利1,968.87元 (+3.39%)",54.62,1100,60082.0,65.19,止盈条件=profit_floor；14:55收盘代理价成交,1968.87,3.3918,4500,持有4500股,60016.81,,,,,
66,2024-12-04,明阳电气,sz.301291,买入,"买入明阳电气(sz.301291) 500股，成交价39.045，成交金额19,522.72元，现金-19,537.48元，交易后持股2500股",建仓成本14.76元,39.045,500,19522.72,14.76,L4；价值线网格第4份；盘中触及结构位成交,-14.76,,2500,持有2500股,-19537.48,,,,,
67,2024-12-06,明阳电气,sz.301291,卖出,"卖出明阳电气(sz.301291) 500股，成交价42.95，成交金额21,474.99元，现金+21,448.51元，本次盈利+2,353.97元，收益率+12.33%，剩余2000股","盈利2,353.97元 (+12.33%)",42.95,500,21474.99,26.47,L5；上一格卖出；盘中触及结构位成交,2353.97,12.328,2000,持有2000股,21448.51,,,,,
68,2024-12-06,明阳电气,sz.301291,卖出,"卖出明阳电气(sz.301291) 500股，成交价40.998，成交金额20,498.85元，现金+20,473.35元，本次盈利+935.88元，收益率+4.79%，剩余1500股",盈利935.88元 (+4.79%),40.998,500,20498.85,25.5,L4；上一格卖出；盘中触及结构位成交,935.88,4.7902,1500,持有1500股,20473.35,,,,,
69,2024-12-06,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.48，成交金额19,740.00元，现金-19,754.87元，交易后持股500股",建仓成本14.87元,39.48,500,19740.0,14.87,L1；价值线网格第1份；开盘已触发成交,-14.87,,500,持有500股,-19754.87,,,,,
70,2024-12-06,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.48，成交金额19,740.00元，现金-19,754.87元，交易后持股1000股",建仓成本14.87元,39.48,500,19740.0,14.87,L2；价值线网格第2份；开盘已触发成交,-14.87,,1000,持有1000股,-19754.87,,,,,
71,2024-12-06,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.48，成交金额19,740.00元，现金-19,754.87元，交易后持股1500股",建仓成本14.87元,39.48,500,19740.0,14.87,L3；价值线网格第3份；开盘已触发成交,-14.87,,1500,持有1500股,-19754.87,,,,,
72,2024-12-06,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.48，成交金额19,740.00元，现金-19,754.87元，交易后持股2000股",建仓成本14.87元,39.48,500,19740.0,14.87,L4；价值线网格第4份；开盘已触发成交,-14.87,,2000,持有2000股,-19754.87,,,,,
73,2024-12-06,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.48，成交金额19,740.00元，现金-19,754.87元，交易后持股2500股",建仓成本14.87元,39.48,500,19740.0,14.87,L5；价值线网格第5份；开盘已触发成交,-14.87,,2500,持有2500股,-19754.87,,,,,
74,2024-12-10,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价42.13，成交金额21,065.00元，现金+21,038.94元，本次盈利+1,284.07元，收益率+6.50%，剩余2000股","盈利1,284.07元 (+6.50%)",42.13,500,21065.0,26.07,L4；上一格卖出；开盘已触发成交,1284.07,6.5,2000,持有2000股,21038.94,,,,,
75,2024-12-13,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.779，成交金额19,889.52元，现金-19,904.47元，交易后持股2500股",建仓成本14.94元,39.779,500,19889.52,14.94,L4；价值线网格第4份；盘中触及结构位成交,-14.94,,2500,持有2500股,-19904.47,,,,,
