date,current_equity,vectorbt_equity,equity_delta_pct,vectorbt_cash
2025-01-21,1.0113787670242507,1.0113787670242507,0.0,955066.7670242507
2025-01-22,1.0029867670242507,1.0029867670242507,0.0,955066.7670242507
2025-01-23,1.0019544996348313,1.0019544996348313,0.0,918668.4996348312
2025-01-24,1.0020664996348312,1.0020664996348312,0.0,918668.4996348312
2025-01-27,1.0005824996348311,1.0005824996348311,0.0,918668.4996348312
2025-02-05,0.9972599381148826,0.9972599381148826,0.0,907195.9381148826
2025-02-06,0.9984919381148826,0.9984919381148826,0.0,907195.9381148826
2025-02-07,1.0005879381148826,1.0005879381148826,0.0,907195.9381148826
2025-02-10,0.9993559381148825,0.9993559381148825,0.0,907195.9381148826
2025-02-11,0.9958999381148825,0.9958999381148825,0.0,907195.9381148826
2025-02-12,0.9978839381148825,0.9978839381148825,0.0,907195.9381148826
2025-02-13,0.9955959381148826,0.9955959381148826,0.0,907195.9381148826
2025-02-14,0.9949399381148826,0.9949399381148826,0.0,907195.9381148826
2025-02-17,0.9949907546709313,0.9949907546709313,0.0,896296.7546709314
2025-02-18,0.9928127546709313,0.9928127546709313,0.0,896296.7546709314
2025-02-19,0.9939467546709314,0.9939467546709314,0.0,896296.7546709314
2025-02-20,0.9909407546709313,0.9909407546709313,0.0,896296.7546709314
2025-02-21,0.9912903200709313,0.9912903200709314,1.1102230246251565e-14,601364.3200709315
2025-02-24,1.0029303200709314,1.0029303200709314,0.0,601364.3200709315
2025-02-25,0.9967803200709313,0.9967803200709314,1.1102230246251565e-14,601364.3200709315
2025-02-26,1.015477708607122,1.0154777086071223,2.220446049250313e-14,624857.7086071222
2025-02-27,1.022987708607122,1.0229877086071222,2.220446049250313e-14,624857.7086071222
2025-02-28,1.0160377086071222,1.0160377086071222,0.0,624857.7086071222
2025-03-03,1.0142091470871735,1.0142091470871735,0.0,613385.1470871735
2025-03-04,1.0121451470871734,1.0121451470871736,2.220446049250313e-14,613385.1470871735
2025-03-05,1.0145851470871734,1.0145851470871736,2.220446049250313e-14,613385.1470871735
2025-03-06,1.0386491470871735,1.0386491470871735,0.0,613385.1470871735
2025-03-07,1.0274759636432222,1.0274759636432222,0.0,602485.9636432223
2025-03-10,1.0205245660432223,1.0205245660432223,0.0,459842.5660432223
2025-03-11,1.0148821281272637,1.014882128127264,2.220446049250313e-14,611050.128127264
2025-03-12,1.0066159691672638,1.006615969167264,2.220446049250313e-14,671959.969167264
2025-03-13,0.9971439691672638,0.997143969167264,2.220446049250313e-14,671959.969167264
2025-03-14,0.9955769211672639,0.995576921167264,1.1102230246251565e-14,729944.921167264
2025-03-17,0.9979449211672639,0.997944921167264,1.1102230246251565e-14,729944.921167264
2025-03-18,1.003648921167264,1.003648921167264,0.0,729944.921167264
2025-03-19,1.0078169211672638,1.007816921167264,2.220446049250313e-14,729944.921167264
2025-03-20,1.0064649211672638,1.006464921167264,2.220446049250313e-14,729944.921167264
2025-03-21,1.002336921167264,1.002336921167264,0.0,729944.921167264
2025-03-24,1.0020729211672639,1.002072921167264,2.220446049250313e-14,729944.921167264
2025-03-25,1.008384921167264,1.008384921167264,0.0,729944.921167264
2025-03-26,1.011056921167264,1.011056921167264,0.0,729944.921167264
2025-03-27,1.0188889211672638,1.018888921167264,2.220446049250313e-14,729944.921167264
2025-03-28,1.0221849211672638,1.022184921167264,2.220446049250313e-14,729944.921167264
2025-03-31,1.0176477377233126,1.0176477377233129,2.220446049250313e-14,719045.7377233128
2025-04-01,1.0271457377233126,1.0271457377233129,2.220446049250313e-14,719045.7377233128
2025-04-02,1.0297857377233126,1.0297857377233128,2.220446049250313e-14,719045.7377233128
2025-04-03,1.0252137377233126,1.0252137377233128,2.220446049250313e-14,719045.7377233128
2025-04-07,0.9940826895733128,0.9940826895733129,1.1102230246251565e-14,616892.6895733129
2025-04-08,0.9883683519233127,0.9883683519233128,1.1102230246251565e-14,760826.3519233129
2025-04-09,0.9868743519233127,0.9868743519233129,1.1102230246251565e-14,760826.3519233129
2025-04-10,0.9976643519233127,0.9976643519233129,2.220446049250313e-14,760826.3519233129
2025-04-11,0.9997863519233128,0.9997863519233129,1.1102230246251565e-14,760826.3519233129
2025-04-14,1.0016443519233127,1.001644351923313,2.220446049250313e-14,760826.3519233129
2025-04-15,0.9997003519233127,0.9997003519233129,1.1102230246251565e-14,760826.3519233129
2025-04-16,0.9966483519233128,0.9966483519233129,1.1102230246251565e-14,760826.3519233129
2025-04-17,0.9942123519233128,0.9942123519233129,1.1102230246251565e-14,760826.3519233129
2025-04-18,0.9931763519233128,0.9931763519233129,1.1102230246251565e-14,760826.3519233129
2025-04-21,1.0008483519233127,1.000848351923313,2.220446049250313e-14,760826.3519233129
2025-04-22,1.0008743519233128,1.000874351923313,2.220446049250313e-14,760826.3519233129
2025-04-23,0.9972216959233128,0.9972216959233129,1.1102230246251565e-14,709483.6959233129
2025-04-24,1.0005436959233127,1.000543695923313,2.220446049250313e-14,709483.6959233129
2025-04-25,0.9942956959233128,0.9942956959233129,1.1102230246251565e-14,709483.6959233129
2025-04-28,0.9920296959233128,0.9920296959233129,1.1102230246251565e-14,709483.6959233129
2025-04-29,0.9891476959233128,0.9891476959233129,1.1102230246251565e-14,709483.6959233129
2025-04-30,0.9994436959233128,0.999443695923313,1.1102230246251565e-14,709483.6959233129
2025-05-06,1.0001036959233127,1.000103695923313,2.220446049250313e-14,709483.6959233129
2025-05-07,1.0018451099233125,1.0018451099233125,0.0,685891.1099233126
2025-05-08,0.9981161099233125,0.9981161099233126,1.1102230246251565e-14,685891.1099233126
2025-05-09,1.0005551359233125,1.0005551359233125,0.0,667929.1359233125
2025-05-12,0.9973835215905537,0.9973835215905537,0.0,697783.5215905537
2025-05-13,0.9986662746113338,0.9986662746113338,0.0,718610.2746113339
2025-05-14,0.9954262746113338,0.9954262746113338,0.0,718610.2746113339
2025-05-15,0.9944822746113339,0.9944822746113339,0.0,718610.2746113339
2025-05-16,0.9952422746113339,0.9952422746113339,0.0,718610.2746113339
2025-05-19,0.9956102746113339,0.9956102746113339,0.0,718610.2746113339
2025-05-20,0.9976902746113339,0.9976902746113339,0.0,718610.2746113339
2025-05-21,1.0113542746113338,1.0113542746113338,0.0,718610.2746113339
2025-05-22,1.008351961611334,1.008351961611334,0.0,737898.9616113339
2025-05-23,1.0109659616113338,1.0109659616113338,0.0,737898.9616113339
2025-05-26,1.0081369616113338,1.0081369616113338,0.0,737898.9616113339
2025-05-27,1.002515961611334,1.002515961611334,0.0,737898.9616113339
2025-05-28,1.0104069616113338,1.0104069616113338,0.0,737898.9616113339
2025-05-29,1.017176987611334,1.017176987611334,0.0,719936.9876113338
2025-05-30,1.019440987611334,1.019440987611334,0.0,719936.9876113338
2025-06-03,1.022799128551526,1.022799128551526,0.0,739119.1285515261
2025-06-04,1.024032297206526,1.024032297206526,0.0,440087.2972065261
2025-06-05,1.017506323086526,1.017506323086526,0.0,737436.323086526
2025-06-06,1.018688323086526,1.018688323086526,0.0,737436.323086526
2025-06-09,1.0192881701484586,1.0192881701484586,0.0,719176.1701484587
2025-06-10,1.0180481701484587,1.0180481701484587,0.0,719176.1701484587
2025-06-11,1.0161521701484586,1.0161521701484586,0.0,719176.1701484587
2025-06-12,1.024535311088651,1.024535311088651,0.0,738358.311088651
2025-06-13,1.030560301552011,1.030560301552011,0.0,758550.3015520112
2025-06-16,1.0247363015520112,1.0247363015520112,0.0,758550.3015520112
2025-06-17,1.0207143015520113,1.0207143015520113,0.0,758550.3015520112
2025-06-18,1.023340301552011,1.023340301552011,0.0,758550.3015520112
2025-06-19,1.0175293510908876,1.0175293510908876,0.0,739329.3510908877
2025-06-20,1.0161173510908876,1.0161173510908876,0.0,739329.3510908877
2025-06-23,1.0171491981528205,1.0171491981528205,0.0,721069.1981528203
2025-06-24,1.0138451981528203,1.0138451981528203,0.0,721069.1981528203
2025-06-25,1.0116051981528202,1.0116051981528202,0.0,721069.1981528203
2025-06-26,1.0086131981528204,1.0086131981528204,0.0,721069.1981528203
2025-06-27,1.0061571981528203,1.0061571981528203,0.0,721069.1981528203
2025-06-30,1.0065811981528203,1.0065811981528203,0.0,721069.1981528203
2025-07-01,1.0154371981528203,1.0154371981528203,0.0,721069.1981528203
2025-07-02,1.0082291981528204,1.0082291981528204,0.0,721069.1981528203
2025-07-03,1.0091891981528203,1.0091891981528203,0.0,721069.1981528203
2025-07-04,1.0063171981528203,1.0063171981528203,0.0,721069.1981528203
2025-07-07,1.0011731981528202,1.0011731981528202,0.0,721069.1981528203
2025-07-08,1.0024051981528204,1.0024051981528204,0.0,721069.1981528203
2025-07-09,1.0005971981528203,1.0005971981528203,0.0,721069.1981528203
2025-07-10,1.0036131981528202,1.0036131981528202,0.0,721069.1981528203
2025-07-11,1.0061331981528203,1.0061331981528203,0.0,721069.1981528203
2025-07-14,1.0139331981528203,1.0139331981528203,0.0,721069.1981528203
2025-07-15,1.0117891981528204,1.0117891981528204,0.0,721069.1981528203
2025-07-16,1.0103811981528203,1.0103811981528203,0.0,721069.1981528203
2025-07-17,1.0092611981528203,1.0092611981528203,0.0,721069.1981528203
2025-07-18,1.0099251981528203,1.0099251981528203,0.0,721069.1981528203
2025-07-21,1.0055564547628204,1.0055564547628204,0.0,498846.4547628203
2025-07-22,1.0109984547628204,1.0109984547628204,0.0,498846.4547628203
2025-07-23,1.0058964547628204,1.0058964547628204,0.0,498846.4547628203
2025-07-24,1.0052264547628205,1.0052264547628205,0.0,498846.4547628203
2025-07-25,1.0034124547628205,1.0034124547628205,0.0,498846.4547628203
2025-07-28,1.0076624547628203,1.0076624547628203,0.0,498846.4547628203
2025-07-29,1.0070024547628205,1.0070024547628205,0.0,498846.4547628203
2025-07-30,0.9986703002128203,0.9986703002128203,0.0,791758.3002128203
2025-07-31,0.9958543002128203,0.9958543002128203,0.0,791758.3002128203
2025-08-01,0.9966383002128203,0.9966383002128203,0.0,791758.3002128203
2025-08-04,1.0061983002128203,1.0061983002128203,0.0,791758.3002128203
2025-08-05,1.0074714842128203,1.0074714842128203,0.0,772111.4842128203
2025-08-06,1.0078234842128202,1.0078234842128202,0.0,772111.4842128203
2025-08-07,1.0096714842128203,1.0096714842128203,0.0,772111.4842128203
2025-08-08,1.0115862372336004,1.0115862372336004,0.0,792938.2372336005
2025-08-11,1.0000733569008418,1.0000733569008418,0.0,773113.3569008417
2025-08-12,0.9999293569008417,0.9999293569008417,0.0,773113.3569008417
2025-08-13,1.0023693569008416,1.0023693569008416,0.0,773113.3569008417
2025-08-14,1.0007453569008418,1.0007453569008418,0.0,773113.3569008417
2025-08-15,1.0015133569008416,1.0015133569008416,0.0,773113.3569008417
2025-08-18,1.0006493569008417,1.0006493569008417,0.0,773113.3569008417
2025-08-19,0.9979133569008417,0.9979133569008417,0.0,773113.3569008417
2025-08-20,0.9993853569008417,0.9993853569008417,0.0,773113.3569008417
2025-08-21,0.9980173569008417,0.9980173569008417,0.0,773113.3569008417
2025-08-22,0.9993453569008417,0.9993453569008417,0.0,773113.3569008417
2025-08-25,1.0079533569008416,1.0079533569008416,0.0,773113.3569008417
2025-08-26,1.0107613569008418,1.0107613569008418,0.0,773113.3569008417
2025-08-27,1.0186973569008417,1.0186973569008417,0.0,773113.3569008417
2025-08-28,1.0220173569008417,1.0220173569008417,0.0,773113.3569008417
2025-08-29,1.0281853569008417,1.0281853569008417,0.0,773113.3569008417
2025-09-01,1.042434233841034,1.042434233841034,0.0,813533.233841034
2025-09-02,1.043908274498534,1.043908274498534,0.0,513427.274498534
2025-09-03,1.049470264961894,1.049470264961894,0.0,533619.2649618943
2025-09-04,1.0236104529268941,1.0236104529268941,0.0,824374.4529268942
2025-09-05,1.0332264529268942,1.0332264529268942,0.0,824374.4529268942
2025-09-08,1.0323364529268941,1.0323364529268941,0.0,824374.4529268942
2025-09-09,1.043863442888326,1.043863442888326,0.0,845629.442888326
2025-09-10,1.040949442888326,1.040949442888326,0.0,845629.442888326
2025-09-11,1.040317442888326,1.040317442888326,0.0,845629.442888326
2025-09-12,1.039295442888326,1.039295442888326,0.0,845629.442888326
2025-09-15,1.036464442888326,1.036464442888326,0.0,845629.442888326
2025-09-16,1.035980442888326,1.035980442888326,0.0,845629.442888326
2025-09-17,1.030603442888326,1.030603442888326,0.0,845629.442888326
2025-09-18,1.026148442888326,1.026148442888326,0.0,845629.442888326
2025-09-19,1.026384442888326,1.026384442888326,0.0,845629.442888326
2025-09-22,1.030973442888326,1.030973442888326,0.0,845629.442888326
