date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date
2025-08-18,sz.002311,海大集团,右侧买入,56.83,56.83,5.11,R25; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0031,900.0,56.83,买入,900.0,51147.0,5.0,0.0,25.57,30.57,0.0,,,-30.57,-0.0598,-51177.57,5.4464,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.21倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.21倍；多周期均量扣低走高,trade_ready,aligned,,,,,
2025-08-19,sh.603979,金诚信,收盘条件退出,52.27,52.27,-11.57,R24; condition stop; 14:55/close proxy,active,-0.0807,-2200.0,52.58,卖出,2200.0,114994.0,9.77,57.5,57.5,124.77,67.67,115676.0,-682.0,-874.44,-0.7555,114869.23,,,,,,,,,,,,,,
2025-08-21,sh.603979,金诚信,右侧买入,52.58,52.58,11.57,"R26; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5,MA10; intraday_cross",active,-0.0068,2200.0,52.58,买入,2200.0,115676.0,9.83,0.0,57.84,67.67,0.0,,,-67.67,-0.0585,-115743.67,11.7101,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,0.75,45.38,54.98,2025-07-16,2025-08-14
2025-09-01,sh.603979,金诚信,加仓批次合并,69.05,69.05,0.0,R26; 浮盈达到20%,active,0.0,0.0,,状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,
2025-09-02,sz.300308,中际旭创,右侧买入,405.2,405.2,4.05,R27; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0025,100.0,405.2,买入,100.0,40520.0,5.0,0.0,20.26,25.26,0.0,,,-25.26,-0.0623,-40545.26,6.518666666666667,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,
2025-09-03,sz.300308,中际旭创,突破次日未确认退出,391.14,391.14,-4.05,R27; 开盘未站上405.200; gap_stop,active,-0.145,-100.0,405.2,卖出,100.0,39114.0,5.0,19.56,19.56,44.11,25.26,40520.0,-1406.0,-1475.37,-3.6388,39069.89,,,,,,,,,,,,,,
2025-09-03,sz.002311,海大集团,收盘条件退出,58.26,58.26,-5.11,R25; entry time condition; 14:55/close proxy,active,0.123,-900.0,56.83,卖出,900.0,52434.0,5.0,26.22,26.22,57.43,30.57,51147.0,1287.0,1198.99,2.3428,52376.57,,,,,,,,,,,,,,
2025-09-03,sz.300308,中际旭创,右侧买入,405.2,405.2,4.05,R28; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0025,100.0,405.2,买入,100.0,40520.0,5.0,0.0,20.26,25.26,0.0,,,-25.26,-0.0623,-40545.26,6.518666666666667,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.48倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.48倍；多周期均量扣低走高,trade_ready,aligned,,,,,
2025-09-04,sh.603979,金诚信,统一分仓收盘止盈1份,62.57,62.57,-6.17,14:55/close proxy,active,2.5756,-1400.0,44.105000000000004,卖出,1400.0,87598.0,7.45,43.8,43.8,95.04,36.12,61747.0,25851.0,25719.83,41.6292,87502.96,,,,,,,,,,,,,,
2025-09-04,sz.300308,中际旭创,止损清仓,364.68,364.68,-4.05,R28; hard space stop 364.680; intraday_stop,active,-0.4093,-100.0,405.2,卖出,100.0,36468.0,5.0,18.23,18.23,41.47,25.26,40520.0,-4052.0,-4118.73,-10.1583,36426.53,,,,,,,,,,,,,,
2025-09-04,sz.300308,中际旭创,统一分仓收盘止盈1份,368.33,368.33,-3.91,14:55/close proxy,active,10.806,-400.0,97.78,卖出,400.0,147332.0,12.52,73.67,73.67,159.86,22.88,39112.0,108220.0,108037.26,276.0639,147172.14,,,,,,,,,,,,,,
2025-09-04,sh.603979,金诚信,右侧买入,64.407,64.4075,14.17,R29; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5; intraday_cross,active,-0.0083,2200.0,64.4075,买入,2200.0,141696.5,12.04,0.0,70.85,82.89,0.0,,,-82.89,-0.0585,-141779.39,14.406550000000001,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.75,47.72,69.97,2024-07-03,2025-09-01
2025-09-05,sh.603979,金诚信,收盘条件退出,63.38,63.38,-14.17,R29; condition stop; 14:55/close proxy,active,-0.2412,-2200.0,64.4075,卖出,2200.0,139436.0,11.85,69.72,69.72,151.29,82.89,141696.5,-2260.5,-2494.68,-1.7596,139284.71,,,,,,,,,,,,,,
2025-09-08,sz.300308,中际旭创,右侧买入,371.945,371.945,7.44,R30; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA10; intraday_cross,active,-0.0044,200.0,371.945,买入,200.0,74389.0,6.32,0.0,37.19,43.52,0.0,,,-43.52,-0.0585,-74432.52,7.822400000000002,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.75,146.75,447.01,2024-10-16,2025-09-04
2025-09-08,sh.603979,金诚信,右侧买入,62.775,62.775,13.81,R31; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA10; intraday_cross,active,-0.0081,2200.0,62.775,买入,2200.0,138105.0,11.74,0.0,69.05,80.79,0.0,,,-80.79,-0.0585,-138185.79,14.406550000000001,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.75,41.19,69.97,2025-06-20,2025-09-01
2025-09-09,sz.300308,中际旭创,收盘条件退出,358.5,358.5,-7.44,R30; condition stop; 14:55/close proxy,exited,-0.2767,-200.0,371.945,卖出,200.0,71700.0,6.09,35.85,35.85,77.79,43.52,74389.0,-2689.0,-2810.31,-3.7757,71622.21,,,,,,,,,,,,,,
2025-09-10,sh.603979,金诚信,收盘条件退出,61.85,61.85,-13.81,R31; condition stop; 14:55/close proxy,exited,-0.2183,-2200.0,62.775,卖出,2200.0,136070.0,11.57,68.03,68.03,147.64,80.79,138105.0,-2035.0,-2263.43,-1.638,135922.36,,,,,,,,,,,,,,
2025-09-11,sz.300308,中际旭创,右侧买入,425.25,425.25,4.25,R32; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0026,100.0,425.25,买入,100.0,42525.0,5.0,0.0,21.26,26.26,0.0,,,-26.26,-0.0618,-42551.26,5.214933333333334,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,,,,,
2025-09-11,sh.603979,金诚信,右侧买入,61.672,61.6725,14.18,R33; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5; intraday_cross,exited,-0.0083,2300.0,61.6725,买入,2300.0,141846.75,12.06,0.0,70.92,82.98,0.0,,,-82.98,-0.0585,-141929.73,14.406550000000001,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,0.75,36.78,69.97,2025-03-05,2025-09-01
2025-09-12,sz.300308,中际旭创,收盘条件退出,421.16,421.16,-4.25,R32; condition stop; 14:55/close proxy,exited,-0.0456,-100.0,425.25,卖出,100.0,42116.0,5.0,21.06,21.06,47.12,26.26,42525.0,-409.0,-482.38,-1.1336,42068.88,,,,,,,,,,,,,,
2025-09-17,sh.603979,金诚信,收盘条件退出,64.55,64.55,-14.18,R33; entry time condition; 14:55/close proxy,exited,0.6457,-2300.0,61.6725,卖出,2300.0,148465.0,12.62,74.23,74.23,161.08,82.98,141846.75,6618.25,6374.19,4.4911,148303.92,,,,,,,,,,,,,,
2025-09-18,sh.603979,金诚信,右侧买入,61.626,61.62625,14.17,R34; 浮盈加仓50%; 上涨波段62.5%拉回支撑; 共振=MA20; intraday_cross,exited,-0.0083,2300.0,61.62625,买入,2300.0,141740.38,12.05,0.0,70.87,82.92,0.0,,,-82.92,-0.0585,-141823.29,14.406550000000001,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.625,47.72,69.97,2024-07-03,2025-09-01
2025-09-23,sz.300308,中际旭创,右侧买入,446.02,446.02,4.46,R35; 浮盈加仓33%; 价格突破21日收盘高点; gap_breakout,exited,-0.0027,100.0,446.02,买入,100.0,44602.0,5.0,0.0,22.3,27.3,0.0,,,-27.3,-0.0612,-44629.3,5.214933333333334,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,,,,,
2025-09-24,sz.300308,中际旭创,突破次日未确认退出,415.09,415.09,-4.46,R35; 开盘未站上439.000; gap_stop,exited,-0.314,-100.0,446.02,卖出,100.0,41509.0,5.0,20.75,20.75,46.51,27.3,44602.0,-3093.0,-3166.81,-7.0958,41462.49,,,,,,,,,,,,,,
2025-09-24,sh.603979,金诚信,收盘条件退出,63.32,63.32,-14.17,R34; entry time condition; 14:55/close proxy,exited,0.3738,-2300.0,61.62625,卖出,2300.0,145636.0,12.38,72.82,72.82,158.02,82.92,141740.38,3895.62,3654.69,2.5769,145477.98,,,,,,,,,,,,,,
2025-09-25,sz.300308,中际旭创,右侧买入,439.0,439.0,4.39,R36; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0027,100.0,439.0,买入,100.0,43900.0,5.0,0.0,21.95,26.95,0.0,,,-26.95,-0.0614,-43926.95,5.214933333333334,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,,,,,
2025-09-26,sz.300308,中际旭创,突破次日未确认退出,428.1,428.1,-4.39,R36; 开盘未站上439.000; gap_stop,exited,-0.1138,-100.0,439.0,卖出,100.0,42810.0,5.0,21.41,21.41,47.81,26.95,43900.0,-1090.0,-1164.76,-2.6516,42762.19,,,,,,,,,,,,,,
