date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date,signal_type,anchor_pullback_low,anchor_pullback_low_date,gap_up
2026-01-14,sz.002028,思源电气,右侧买入,161.71,161.71,8.09,R96; 浮盈加仓33%; 价格突破21日收盘高点; gap_breakout,active,-0.0047,500.0,161.71,买入,500.0,80855.0,6.87,0.0,40.43,47.3,0.0,,,-47.3,-0.0585,-80902.3,8.522831666666667,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+6.7%；60日强度+52.7%；120日强度+104.8%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.23倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.23倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-01-15,sz.002028,思源电气,突破次日未确认退出,161.17,161.17,-8.09,R96; 开盘未站上161.650; gap_stop,active,-0.0357,-500.0,161.71,卖出,500.0,80585.0,6.85,40.29,40.29,87.43,47.3,80855.0,-270.0,-404.73,-0.5003,80497.57,,,,,,,,,,,,,,,,,,
2026-01-19,sz.002028,思源电气,右侧买入,189.18,189.18,7.57,R97; 浮盈加仓33%; 价格突破21日收盘高点; gap_breakout,active,-0.0044,400.0,189.18,买入,400.0,75672.0,6.43,0.0,37.84,44.27,0.0,,,-44.27,-0.0585,-75716.27,8.522831666666667,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+23.9%；60日强度+56.5%；120日强度+135.3%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.30倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.30倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-01-29,sz.002028,思源电气,收盘条件退出,185.11,185.11,-7.57,R97; condition stop; 14:55/close proxy,active,-0.1708,-400.0,189.18,卖出,400.0,74044.0,6.29,37.02,37.02,80.34,44.27,75672.0,-1628.0,-1752.61,-2.3147,73963.66,,,,,,,,,,,,,,,,,,
2026-02-10,sz.002028,思源电气,右侧买入,203.63,203.63,8.15,R98; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0048,400.0,203.63,买入,400.0,81452.0,6.92,0.0,40.73,47.65,0.0,,,-47.65,-0.0585,-81499.65,8.522831666666667,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+26.8%；60日强度+32.4%；120日强度+136.0%；距120日高点-1.2%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-03-04,sz.002028,思源电气,右侧买入,226.36,226.36,9.05,R99; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0053,400.0,226.36,买入,400.0,90544.0,7.7,0.0,45.27,52.97,0.0,,,-52.97,-0.0585,-90596.97,11.237898333333332,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+15.6%；60日强度+56.3%；120日强度+158.9%；距120日高点-3.5%；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,,,,,,,,,
2026-03-05,sz.002028,思源电气,突破次日未确认退出,224.04,224.04,-9.05,R99; 开盘未站上226.360; gap_stop,exited,-0.1025,-400.0,226.36,卖出,400.0,89616.0,7.62,44.81,44.81,97.23,52.97,90544.0,-928.0,-1078.2,-1.1901,89518.77,,,,,,,,,,,,,,,,,,
2026-03-05,sz.002028,思源电气,右侧买入,226.36,226.36,9.05,R100; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0053,400.0,226.36,买入,400.0,90544.0,7.7,0.0,45.27,52.97,0.0,,,-52.97,-0.0585,-90596.97,11.237898333333332,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+18.8%；60日强度+56.7%；120日强度+164.0%；距120日高点-1.1%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-03-11,sz.002028,思源电气,收盘条件退出,220.03,220.03,-9.05,R100; condition stop; 14:55/close proxy,exited,-0.2627,-400.0,226.36,卖出,400.0,88012.0,7.48,44.01,44.01,95.49,52.97,90544.0,-2532.0,-2680.46,-2.9587,87916.51,,,,,,,,,,,,,,,,,,
2026-03-12,sz.002028,思源电气,右侧买入,215.595,215.59500000000003,15.09,R101; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA20; intraday_cross,exited,-0.0088,700.0,215.59500000000003,买入,700.0,150916.5,12.83,0.0,75.46,88.29,0.0,,,-88.29,-0.0585,-151004.79,16.8568475,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；基本面硬条件通过且多周期强度居前；20日强度+10.8%；60日强度+39.0%；120日强度+143.8%；距120日高点-5.4%；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,0.75,148.05,238.11,2026-01-05,2026-03-06,uptrend_support_pullback,,,
2026-03-13,sz.002028,思源电气,收盘条件退出,210.51,210.51,-15.09,R101; condition stop; 14:55/close proxy,exited,-0.3719,-700.0,215.59500000000003,卖出,700.0,147357.0,12.53,73.68,73.68,159.88,88.29,150916.5,-3559.5,-3807.67,-2.5216,147197.12,,,,,,,,,,,,,,,,,,
2026-03-19,sz.002028,思源电气,右侧买入,214.77,214.77,15.03,"R102; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5,MA10,MA20; gap_or_open_fill",watch,-0.0088,700.0,214.77,买入,700.0,150339.0,12.78,0.0,75.17,87.95,0.0,,,-87.95,-0.0585,-150426.95,16.8568475,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+5.6%；60日强度+44.4%；120日强度+136.2%；距120日高点-5.9%；MA20/MA60同步上扬；贴近上扬MA20支撑,6.0,MA20/MA60同步上扬；贴近上扬MA20支撑,watch,aligned,0.75,148.05,238.11,2026-01-05,2026-03-06,uptrend_support_pullback,,,
2026-03-20,sz.002028,思源电气,收盘条件退出,202.84,202.84,-8.15,R98; condition stop; 14:55/close proxy,watch,-0.0404,-400.0,203.63,卖出,400.0,81136.0,6.9,40.57,40.57,88.03,47.65,81452.0,-316.0,-451.68,-0.5542,81047.97,,,,,,,,,,,,,,,,,,
2026-03-20,sz.002028,思源电气,收盘条件退出,202.84,202.84,-15.03,R102; condition stop; 14:55/close proxy,watch,-0.8505,-700.0,214.77,卖出,700.0,141988.0,12.07,70.99,70.99,154.06,87.95,150339.0,-8351.0,-8593.01,-5.7124,141833.94,,,,,,,,,,,,,,,,,,
2026-03-23,sz.002028,思源电气,统一分仓收盘止盈1份,200.95,200.95,-4.57,14:55/close proxy,watch,3.4609,-400.0,114.21,卖出,400.0,80380.0,6.83,40.19,40.19,87.21,26.73,45684.0,34696.0,34582.06,75.6542,80292.79,,,,,,,,,,,,,,,,,,
2026-04-21,sz.002028,思源电气,右侧买入,216.9,216.9,6.51,R103; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0038,300.0,216.9,买入,300.0,65070.0,5.53,0.0,32.54,38.07,0.0,,,-38.07,-0.0585,-65108.07,7.000031666666666,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+6.9%；60日强度+28.9%；120日强度+77.3%；距120日高点-6.7%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.48倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.48倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-04-22,sz.002028,思源电气,突破次日未确认退出,214.1,214.1,-6.51,R103; 开盘未站上216.900; gap_stop,active,-0.091,-300.0,216.9,卖出,300.0,64230.0,5.46,32.12,32.12,69.69,38.07,65070.0,-840.0,-947.76,-1.4557,64160.31,,,,,,,,,,,,,,,,,,
2026-05-15,sz.300502,新易盛,右侧买入,448.7,448.7,4.49,R104; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0027,100.0,448.7,买入,100.0,44870.0,5.0,0.0,22.43,27.43,0.0,,,-27.43,-0.0611,-44897.43,7.566233333333333,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；基本面硬条件通过且多周期强度居前；20日强度+20.5%；60日强度+61.3%；120日强度+89.5%；距120日高点-1.8%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,9.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,trade_ready,aligned,,,,,,,,,
2026-05-18,sz.300502,新易盛,突破次日未确认退出,427.3,427.3,-4.49,R104; 开盘未站上448.700; gap_stop,active,-0.2188,-100.0,448.7,卖出,100.0,42730.0,5.0,21.37,21.37,47.73,27.43,44870.0,-2140.0,-2215.16,-4.9338,42682.27,,,,,,,,,,,,,,,,,,
2026-06-04,sz.300502,新易盛,右侧买入,558.03,558.03,5.58,R105; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0033,100.0,558.03,买入,100.0,55803.0,5.0,0.0,27.9,32.9,0.0,,,-32.9,-0.059,-55835.9,7.566233333333333,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+49.7%；60日强度+95.0%；120日强度+120.0%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-06-05,sz.002028,思源电气,统一分仓收盘止盈1份,176.74,176.74,-4.57,14:55/close proxy,exited,2.4935,-400.0,114.21,卖出,400.0,70696.0,6.01,35.35,35.35,76.71,26.73,45684.0,25012.0,24908.57,54.4917,70619.29,,,,,,,,,,,,,,,,,,
2026-06-05,sz.300502,新易盛,收盘条件退出,533.59,533.59,-5.58,R105; condition stop; 14:55/close proxy,exited,-0.2502,-100.0,558.03,卖出,100.0,53359.0,5.0,26.68,26.68,58.36,32.9,55803.0,-2444.0,-2535.26,-4.5406,53300.64,,,,,,,,,,,,,,,,,,
2026-06-09,sz.300502,新易盛,右侧买入,558.03,558.03,5.58,R106; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0033,100.0,558.03,买入,100.0,55803.0,5.0,0.0,27.9,32.9,0.0,,,-32.9,-0.059,-55835.9,7.566233333333333,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；基本面硬条件通过且多周期强度居前；20日强度+28.6%；60日强度+82.5%；120日强度+93.7%；距120日高点-7.3%；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,,,,,,,,,
2026-06-10,sz.300502,新易盛,收盘条件退出,551.07,551.07,-5.58,R106; condition stop; 14:55/close proxy,exited,-0.0756,-100.0,558.03,卖出,100.0,55107.0,5.0,27.55,27.55,60.11,32.9,55803.0,-696.0,-789.01,-1.4131,55046.89,,,,,,,,,,,,,,,,,,
2026-06-22,sz.300502,新易盛,右侧买入,584.1,584.1,5.84,R107; 浮盈加仓33%; 价格突破21日收盘高点; gap_breakout,exited,-0.0034,100.0,584.1,买入,100.0,58410.0,5.0,0.0,29.21,34.2,0.0,,,-34.2,-0.0586,-58444.21,7.566233333333333,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+44.0%；60日强度+70.9%；120日强度+100.2%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-06-23,sz.300502,新易盛,突破次日未确认退出,575.0,575.0,-5.84,R107; 开盘未站上581.480; gap_stop,exited,-0.0972,-100.0,584.1,卖出,100.0,57500.0,5.0,28.75,28.75,62.5,34.2,58410.0,-910.0,-1006.71,-1.7225,57437.5,,,,,,,,,,,,,,,,,,
2026-06-23,sz.300502,新易盛,右侧买入,581.48,581.48,5.81,R108; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0034,100.0,581.48,买入,100.0,58148.0,5.0,0.0,29.07,34.07,0.0,,,-34.07,-0.0586,-58182.07,7.566233333333333,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+34.0%；60日强度+76.6%；120日强度+82.2%；距120日高点-0.3%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-06-24,sz.300502,新易盛,突破次日未确认退出,552.0,552.0,-5.81,R108; 开盘未站上581.480; gap_stop,exited,-0.3008,-100.0,581.48,卖出,100.0,55200.0,5.0,27.6,27.6,60.2,34.07,58148.0,-2948.0,-3042.27,-5.2289,55139.8,,,,,,,,,,,,,,,,,,
2026-07-01,sz.300502,新易盛,右侧买入,610.49,610.49,6.1,R109; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,active,-0.0036,100.0,610.49,买入,100.0,61049.0,5.19,0.0,30.52,35.71,0.0,,,-35.71,-0.0585,-61084.71,7.566233333333333,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+25.2%；60日强度+92.1%；120日强度+89.9%；距120日高点-0.6%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,,,,,
2026-07-02,sz.300502,新易盛,突破次日未确认退出,545.0,545.0,-6.1,R109; 开盘未站上610.490; gap_stop,active,-0.6608,-100.0,610.49,卖出,100.0,54500.0,5.0,27.25,27.25,59.5,35.71,61049.0,-6549.0,-6644.21,-10.877,54440.5,,,,,,,,,,,,,,,,,,
