date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2024-11-22,0.9065125579727502,684312.5579727502,75.4885,19.89,10
2024-11-25,0.9021675579727502,684312.5579727502,75.852,19.89,10
2024-11-26,0.9038322450627502,772063.2450627502,85.4211,11.94,10
2024-11-27,0.9070992450627502,772063.2450627502,85.1134,11.94,10
2024-11-28,0.9048882450627502,772063.2450627502,85.3214,11.94,10
2024-11-29,0.9064062450627501,772063.2450627502,85.1785,11.94,10
2024-12-02,0.9077262450627502,772063.2450627502,85.0546,11.94,10
2024-12-03,0.9096072450627501,772063.2450627502,84.8787,11.94,10
2024-12-04,0.9076932450627502,772063.2450627502,85.0577,11.94,10
2024-12-05,0.9065382450627502,772063.2450627502,85.1661,11.94,10
2024-12-06,0.9117192450627501,772063.2450627502,84.6821,11.94,10
2024-12-09,0.9127092450627502,772063.2450627502,84.5903,11.94,10
2024-12-10,0.9132042450627502,772063.2450627502,84.5444,11.94,10
2024-12-11,0.9101352450627502,772063.2450627502,84.8295,11.94,10
2024-12-12,0.9129732450627501,772063.2450627502,84.5658,11.94,10
2024-12-13,0.9065712450627502,772063.2450627502,85.163,11.94,10
2024-12-16,0.9040302450627502,772063.2450627502,85.4024,11.94,10
2024-12-17,0.9046572450627501,772063.2450627502,85.3432,11.94,10
2024-12-18,0.9049542450627501,772063.2450627502,85.3152,11.94,10
2024-12-19,0.9113175180227502,574123.5180227502,62.9993,31.72,10
2024-12-20,0.9067305180227502,574123.5180227502,63.318,31.72,10
2024-12-23,0.9108225180227502,574123.5180227502,63.0335,31.72,10
2024-12-24,0.9141995180227501,574123.5180227502,62.8007,31.72,10
2024-12-25,0.9131765180227501,574123.5180227502,62.871,31.72,10
2024-12-26,0.9147605180227502,574123.5180227502,62.7622,31.72,10
2024-12-27,0.9171695180227502,574123.5180227502,62.5973,31.72,10
2024-12-30,0.9217345180227502,574123.5180227502,62.2873,31.72,10
2024-12-31,0.9154975180227501,574123.5180227502,62.7116,31.72,10
2025-01-02,0.8998225180227502,574123.5180227502,63.8041,31.72,10
2025-01-03,0.8932761755827501,767777.1755827501,85.9507,11.94,10
2025-01-06,0.8928141755827501,767777.1755827501,85.9952,11.94,10
2025-01-07,0.89204173858275,809167.7385827501,90.7096,7.96,10
2025-01-08,0.8922837385827501,809167.7385827501,90.685,7.96,10
2025-01-09,0.8910737385827501,809167.7385827501,90.8082,7.96,10
2025-01-10,0.8892917385827501,809167.7385827501,90.9901,7.96,10
2025-01-13,0.8888077385827501,809167.7385827501,91.0397,7.96,10
2025-01-14,0.89087573858275,809167.7385827501,90.8284,7.96,10
2025-01-15,0.8903257385827501,809167.7385827501,90.8845,7.96,10
2025-01-16,0.89094173858275,809167.7385827501,90.8216,7.96,10
